File,Chunk,Original Rows,Cleaned Rows
02-14-2018,0,100000,20554
02-14-2018,1,100000,34257
02-14-2018,2,100000,62798
02-14-2018,3,100000,58119
02-14-2018,4,100000,99939
02-14-2018,5,100000,99953
02-14-2018,6,100000,99926
02-14-2018,7,100000,99970
02-14-2018,8,100000,99949
02-14-2018,9,100000,99957
02-14-2018,10,48575,48550
02-15-2018,0,100000,99216
02-15-2018,1,100000,99951
02-15-2018,2,100000,99953
02-15-2018,3,100000,99959
02-15-2018,4,100000,99967
02-15-2018,5,100000,99956
02-15-2018,6,100000,99939
02-15-2018,7,100000,99960
02-15-2018,8,100000,99942
02-15-2018,9,100000,99955
02-15-2018,10,48575,48560
02-16-2018,0,100000,26590
02-16-2018,1,100000,93192
02-16-2018,2,100000,97376
02-16-2018,3,100000,97827
02-16-2018,4,100000,97851
02-16-2018,5,100000,97591
02-16-2018,6,100000,97440
02-16-2018,7,100000,97616
02-16-2018,8,100000,98082
02-16-2018,9,100000,97983
02-16-2018,10,48575,10330
02-20-2018-002,0,100000,100000
02-20-2018-002,1,100000,100000
02-20-2018-002,2,100000,99999
02-20-2018-002,3,100000,99994
02-20-2018-002,4,100000,99995
02-20-2018-002,5,100000,99984
02-20-2018-002,6,100000,99956
02-20-2018-002,7,100000,99938
02-20-2018-002,8,100000,99955
02-20-2018-002,9,100000,99887
02-20-2018-002,10,100000,99960
02-20-2018-002,11,100000,99943
02-20-2018-002,12,100000,99954
02-20-2018-002,13,100000,99910
02-20-2018-002,14,100000,99957
02-20-2018-002,15,100000,99948
02-20-2018-002,16,100000,99937
02-20-2018-002,17,100000,99954
02-20-2018-002,18,100000,99946
02-20-2018-002,19,100000,99976
02-20-2018-002,20,100000,99959
02-20-2018-002,21,100000,99951
02-20-2018-002,22,100000,99956
02-20-2018-002,23,100000,99969
02-20-2018-002,24,100000,99970
02-20-2018-002,25,100000,99964
02-20-2018-002,26,100000,99969
02-20-2018-002,27,100000,99969
02-20-2018-002,28,100000,99991
02-20-2018-002,29,100000,99990
02-20-2018-002,30,100000,99981
02-20-2018-002,31,100000,99984
02-20-2018-002,32,100000,99983
02-20-2018-002,33,100000,99981
02-20-2018-002,34,100000,99987
02-20-2018-002,35,100000,99978
02-20-2018-002,36,100000,99984
02-20-2018-002,37,100000,99984
02-20-2018-002,38,100000,99988
02-20-2018-002,39,100000,99978
02-20-2018-002,40,100000,99984
02-20-2018-002,41,100000,99993
02-20-2018-002,42,100000,99988
02-20-2018-002,43,100000,99987
02-20-2018-002,44,100000,99994
02-20-2018-002,45,100000,99991
02-20-2018-002,46,100000,99993
02-20-2018-002,47,100000,99983
02-20-2018-002,48,100000,99983
02-20-2018-002,49,100000,99984
02-20-2018-002,50,100000,99988
02-20-2018-002,51,100000,99980
02-20-2018-002,52,100000,99982
02-20-2018-002,53,100000,99983
02-20-2018-002,54,100000,99983
02-20-2018-002,55,100000,99982
02-20-2018-002,56,100000,99982
02-20-2018-002,57,100000,99983
02-20-2018-002,58,100000,99979
02-20-2018-002,59,100000,99989
02-20-2018-002,60,100000,99931
02-20-2018-002,61,100000,99922
02-20-2018-002,62,100000,99900
02-20-2018-002,63,100000,99935
02-20-2018-002,64,100000,99921
02-20-2018-002,65,100000,99952
02-20-2018-002,66,100000,99921
02-20-2018-002,67,100000,99918
02-20-2018-002,68,100000,99941
02-20-2018-002,69,100000,99935
02-20-2018-002,70,100000,99931
02-20-2018-002,71,100000,99953
02-20-2018-002,72,100000,99918
02-20-2018-002,73,100000,99925
02-20-2018-002,74,100000,99885
02-20-2018-002,75,100000,99903
02-20-2018-002,76,100000,99920
02-20-2018-002,77,100000,99915
02-20-2018-002,78,100000,99903
02-20-2018-002,79,48748,48689
02-21-2018,0,100000,99097
02-21-2018,1,100000,98947
02-21-2018,2,100000,99145
02-21-2018,3,100000,98831
02-21-2018,4,100000,98662
02-21-2018,5,100000,98814
02-21-2018,6,100000,98686
02-21-2018,7,100000,98398
02-21-2018,8,100000,98212
02-21-2018,9,100000,96238
02-21-2018,10,48575,46022
02-22-2018,0,100000,99847
02-22-2018,1,100000,99898
02-22-2018,2,100000,99956
02-22-2018,3,100000,99894
02-22-2018,4,100000,99924
02-22-2018,5,100000,99917
02-22-2018,6,100000,99940
02-22-2018,7,100000,99942
02-22-2018,8,100000,99901
02-22-2018,9,100000,99928
02-22-2018,10,48575,48556
02-23-2018,0,100000,99951
02-23-2018,1,100000,99895
02-23-2018,2,100000,99925
02-23-2018,3,100000,99916
02-23-2018,4,100000,99913
02-23-2018,5,100000,99909
02-23-2018,6,100000,99948
02-23-2018,7,100000,99915
02-23-2018,8,100000,99947
02-23-2018,9,100000,99926
02-23-2018,10,48575,48561
02-28-2018,0,100000,99962
02-28-2018,1,100000,99979
02-28-2018,2,100000,99918
02-28-2018,3,100000,99942
02-28-2018,4,100000,99961
02-28-2018,5,100000,99886
02-28-2018,6,13104,13101
03-01-2018,0,100000,99955
03-01-2018,1,100000,99982
03-01-2018,2,100000,99987
03-01-2018,3,31125,31108
03-02-2018,0,100000,99538
03-02-2018,1,100000,99737
03-02-2018,2,100000,99775
03-02-2018,3,100000,99891
03-02-2018,4,100000,99936
03-02-2018,5,100000,99933
03-02-2018,6,100000,99921
03-02-2018,7,100000,99930
03-02-2018,8,100000,99935
03-02-2018,9,100000,99916
03-02-2018,10,48575,48562
