File,Rows,Total Missing,Columns With Missing,Total Infinite,Duplicate Rows,Duplicate %
02-14-2018.csv,1048575,2277,1,5371,224603,21.4198
02-15-2018.csv,1048575,4921,1,11133,1217,0.1161
02-16-2018.csv,1048574,0,0,0,136696,13.0364
02-20-2018-002.csv,7948748,36767,1,82139,3110,0.0391
02-21-2018.csv,1048575,0,0,0,17523,1.6711
02-22-2018.csv,1048575,3569,1,7651,872,0.0832
02-23-2018.csv,1048575,3754,1,7662,769,0.0733
02-28-2018.csv,613071,4041,1,0,322,0.0525
03-01-2018.csv,331100,1834,1,2388,68,0.0205
03-02-2018.csv,1048575,2558,1,5542,1501,0.1431
