Feature 1,Feature 2,Correlation
Fwd URG Flags,CWE Flag Count,1.0
Tot Bwd Pkts,Subflow Bwd Pkts,1.0
Fwd Pkt Len Mean,Fwd Seg Size Avg,1.0
Fwd PSH Flags,SYN Flag Cnt,1.0
TotLen Fwd Pkts,Subflow Fwd Byts,1.0
Bwd Pkt Len Mean,Bwd Seg Size Avg,1.0
Tot Fwd Pkts,Subflow Fwd Pkts,1.0
TotLen Bwd Pkts,Subflow Bwd Byts,0.999999956680007
RST Flag Cnt,ECE Flag Cnt,0.9999871174758994
Bwd Header Len,Subflow Bwd Pkts,0.9998902282912305
Tot Bwd Pkts,Bwd Header Len,0.9998902282912303
Subflow Fwd Byts,Fwd Act Data Pkts,0.9993859620882498
TotLen Fwd Pkts,Fwd Act Data Pkts,0.9993859620882498
Subflow Fwd Pkts,Fwd Act Data Pkts,0.9993406284777654
Tot Fwd Pkts,Fwd Act Data Pkts,0.9993406284777654
TotLen Fwd Pkts,Subflow Fwd Pkts,0.9988364301283034
Tot Fwd Pkts,Subflow Fwd Byts,0.998836430128303
Tot Fwd Pkts,TotLen Fwd Pkts,0.998836430128303
Subflow Fwd Pkts,Subflow Fwd Byts,0.998836430128303
Fwd Header Len,Subflow Fwd Pkts,0.9974185029984987
Tot Fwd Pkts,Fwd Header Len,0.9974185029984987
TotLen Bwd Pkts,Subflow Bwd Pkts,0.9974145269055305
Tot Bwd Pkts,TotLen Bwd Pkts,0.9974145269055305
Subflow Bwd Pkts,Subflow Bwd Byts,0.9974135584638506
Tot Bwd Pkts,Subflow Bwd Byts,0.9974135584638506
TotLen Bwd Pkts,Bwd Header Len,0.9971565923505527
Bwd Header Len,Subflow Bwd Byts,0.997155642435582
Idle Mean,Idle Min,0.9964206954006606
Flow Duration,Fwd IAT Tot,0.9964125136678127
Idle Mean,Idle Max,0.9956751689095142
Fwd Header Len,Fwd Act Data Pkts,0.9942438978900109
Fwd Header Len,Subflow Fwd Byts,0.9940066617224204
TotLen Fwd Pkts,Fwd Header Len,0.9940066617224204
Pkt Len Mean,Pkt Size Avg,0.992685175682772
Flow IAT Mean,Flow IAT Min,0.991637968163234
Flow IAT Max,Fwd IAT Max,0.9911453712787383
Flow IAT Mean,Fwd IAT Mean,0.9903191338558527
Flow IAT Mean,Fwd IAT Min,0.9884381542005495
Flow IAT Min,Fwd IAT Min,0.9872555505256619
Fwd IAT Mean,Fwd IAT Min,0.9858890697987062
Idle Max,Idle Min,0.9849017177642919
Flow Pkts/s,Fwd Pkts/s,0.9755527034945394
Flow IAT Min,Fwd IAT Mean,0.9729384506299997
Bwd Pkt Len Max,Bwd Pkt Len Std,0.9698096970458399
Pkt Len Max,Pkt Len Std,0.9663793306116982
Fwd Pkt Len Max,Fwd Pkt Len Std,0.9614888576621237
Bwd Pkt Len Max,Pkt Len Max,0.9601453394711218
Bwd Pkt Len Std,Pkt Len Max,0.9552766753849617
Active Mean,Active Max,0.948215010670574
Bwd Pkt Len Std,Pkt Len Std,0.9464579629114968
Bwd Pkt Len Mean,Pkt Len Mean,0.9455722036520814
Pkt Len Mean,Bwd Seg Size Avg,0.9455722036520811
Fwd Pkt Len Min,Pkt Len Min,0.941318307603241
Bwd Pkt Len Mean,Pkt Size Avg,0.9389962141476347
Pkt Size Avg,Bwd Seg Size Avg,0.9389962141476346
Pkt Len Std,Pkt Len Var,0.9366518771375825
Flow IAT Max,Idle Max,0.9194934918025192
Bwd Pkt Len Mean,Pkt Len Var,0.919136239893247
Pkt Len Var,Bwd Seg Size Avg,0.9191362398932469
Bwd Pkt Len Max,Pkt Len Std,0.9156887264190227
Flow IAT Max,Idle Mean,0.9156303675273756
Fwd IAT Max,Idle Max,0.9116464571540306
Fwd IAT Max,Idle Mean,0.9080287581744726
Pkt Len Mean,Pkt Len Var,0.9067717498910253
Flow IAT Max,Idle Min,0.9059494930839489
Bwd IAT Mean,Bwd IAT Min,0.9003874280956454
Active Mean,Active Min,0.9000563899295791
