,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,4265.0,4283.56,3601.56,3607.1,0.44,0.15
Fwd IAT Tot,34203900.13,33910425.75,39086451.09,39004093.94,0.86,0.21
Fwd IAT Max,11089611.36,11130884.41,18320976.8,18277128.64,0.37,0.24
Dst Port,229.17,223.55,1441.26,1385.93,2.45,3.84
rn,305.48,304.61,177.77,176.24,0.28,0.86
Fwd IAT Mean,5530760.05,5596588.57,11262912.12,11361292.38,1.19,0.87
Fwd Header Len,693.68,675.29,1225.23,1210.18,2.65,1.23
Flow IAT Max,11661547.06,11708665.44,18042465.99,17999234.92,0.4,0.24
Flow Duration,34801410.94,34492192.89,38603969.58,38516845.02,0.89,0.23
Fwd Pkts/s,14532.1,15013.71,39710.66,40339.92,3.31,1.58
TotLen Fwd Pkts,12339.17,12041.54,21976.77,21670.01,2.41,1.4
Subflow Fwd Byts,12339.17,12048.26,21976.77,21661.04,2.36,1.44
Fwd Pkt Len Mean,215.05,212.96,197.91,196.51,0.97,0.71
Fwd Seg Size Avg,215.05,212.92,197.91,196.55,0.99,0.69
Flow IAT Mean,5518375.48,5585824.87,11265175.41,11365068.67,1.22,0.89
Fwd Pkt Len Max,386.17,385.67,292.17,291.19,0.13,0.33
Pkt Len Max,506.62,505.55,484.51,484.25,0.21,0.05
Flow Pkts/s,14538.95,15026.34,39708.51,40343.25,3.35,1.6
Pkt Len Mean,240.73,237.77,230.93,229.3,1.23,0.71
Fwd IAT Min,2439084.45,2555657.61,9399516.15,9563398.85,4.78,1.74
Bwd Seg Size Avg,183.72,181.2,292.5,288.42,1.37,1.4
Pkt Size Avg,262.39,259.16,251.54,249.86,1.23,0.67
Bwd Pkt Len Mean,183.72,181.18,292.5,288.48,1.38,1.37
Bwd Pkt Len Max,343.37,342.86,510.38,508.37,0.15,0.39
TotLen Bwd Pkts,15469.11,15163.1,29473.47,29031.44,1.98,1.5
Subflow Bwd Byts,15469.11,15162.21,29473.47,29034.78,1.98,1.49
Pkt Len Std,135.67,135.77,171.89,170.31,0.07,0.91
Pkt Len Var,47891.33,47877.27,108444.72,107813.5,0.03,0.58
Flow IAT Min,2438938.0,2558925.34,9399554.23,9568469.47,4.92,1.8
Fwd Seg Size Min,16.92,16.94,5.72,5.74,0.12,0.33
