,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,-1.0,-1.0,0.0,0.0,0.0,0.0
Fwd IAT Tot,116113188.61,119202958.12,16927605.08,8761108.36,2.66,48.24
Fwd IAT Max,719356.18,716319.51,132936.18,138668.94,0.42,4.31
Dst Port,80.0,80.0,0.0,0.0,0.0,0.0
Fwd IAT Mean,1017.61,956.15,233.01,255.16,6.04,9.5
Fwd Header Len,939441.55,848792.37,228058.81,228775.81,9.65,0.31
Flow IAT Max,719356.18,684946.63,132936.18,129916.27,4.78,2.27
Flow Duration,115954559.97,115240620.39,16889611.25,17158044.18,0.62,1.59
Fwd Pkts/s,1059.24,1046.89,471.15,543.1,1.17,15.27
TotLen Fwd Pkts,3757766.22,3519629.47,912235.23,899123.64,6.34,1.44
Subflow Fwd Byts,3757766.22,3338543.43,912235.23,810579.39,11.16,11.14
Fwd Pkt Len Mean,32.0,32.0,0.0,0.0,0.0,11430217.27
Fwd Seg Size Avg,32.0,32.0,0.0,0.0,0.0,13076857.54
Fwd Pkt Len Max,32.0,32.0,0.0,0.0,0.0,0.0
Flow IAT Mean,1017.61,984.58,233.01,259.74,3.25,11.47
Flow Pkts/s,1059.24,1158.33,471.15,753.43,9.35,59.91
Pkt Len Max,32.0,32.0,0.0,0.0,0.0,0.0
Pkt Len Mean,32.0,32.0,0.0,0.0,0.0,12637083.74
Fwd IAT Min,0.18,0.08,0.39,0.26,55.0,32.06
Bwd Pkt Len Mean,0.0,0.0,0.0,0.0,10394641.5,9305484.53
Pkt Size Avg,32.0,32.01,0.0,0.04,0.04,1402.67
Bwd Seg Size Avg,0.0,0.0,0.0,0.0,689962.02,2520300.58
Bwd Pkt Len Max,0.0,0.0,0.0,0.0,0.0,0.0
TotLen Bwd Pkts,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Bwd Byts,0.0,0.0,0.0,0.0,0.0,0.0
Pkt Len Var,0.0,0.0,0.0,0.0,3116363.8,5859286.56
Pkt Len Std,0.0,0.0,0.0,0.0,11318002.1,9888824.11
Flow IAT Min,0.18,0.14,0.39,0.33,25.96,14.55
Fwd Seg Size Min,8.0,8.0,0.0,0.0,0.0,0.0
Fwd Pkt Len Std,0.0,0.0,0.0,0.0,3886155.29,6626789.92
