,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,19561.06,19551.65,11915.75,11901.91,0.05,0.12
Fwd IAT Tot,75758287.55,76063898.07,46589209.22,46389828.53,0.4,0.43
Fwd IAT Max,49585998.2,49949916.28,36109753.68,36118966.34,0.73,0.03
Dst Port,80.0,80.0,0.0,0.0,0.0,0.0
Fwd IAT Mean,26060497.76,26417866.29,39490031.83,39674417.22,1.37,0.47
Fwd Header Len,281.07,280.67,199.86,199.67,0.14,0.09
Flow IAT Max,49586020.43,49914297.71,36109721.15,36120432.01,0.66,0.03
Flow Duration,75758313.69,76052051.63,46589173.55,46379150.5,0.39,0.45
Fwd Pkts/s,13027.04,12692.58,102772.6,91100.78,2.57,11.36
TotLen Fwd Pkts,1227.36,1227.55,1240.36,1236.21,0.02,0.33
Subflow Fwd Byts,1227.36,1227.32,1240.36,1235.91,0.0,0.36
Fwd Pkt Len Mean,88.23,87.83,82.94,82.49,0.46,0.54
Fwd Seg Size Avg,88.23,87.86,82.94,82.55,0.42,0.47
Fwd Pkt Len Max,123.39,123.16,113.18,112.86,0.18,0.29
Flow IAT Mean,11179751.77,11308389.78,12976582.1,13059143.9,1.15,0.64
Flow Pkts/s,21618.14,21656.07,138070.24,129010.99,0.18,6.56
Pkt Len Max,127.5,126.67,120.05,118.63,0.65,1.18
Pkt Len Mean,69.67,69.24,66.78,66.25,0.62,0.79
Fwd IAT Min,21588841.3,22116864.33,41576421.05,41688978.87,2.45,0.27
Bwd Pkt Len Mean,2.97,2.7,27.55,25.14,9.06,8.78
Pkt Size Avg,74.65,74.08,72.05,71.17,0.77,1.23
Bwd Seg Size Avg,2.97,2.69,27.55,25.14,9.43,8.76
Bwd Pkt Len Max,5.94,5.38,55.11,50.27,9.39,8.77
TotLen Bwd Pkts,5.94,5.38,55.11,50.27,9.41,8.78
Subflow Bwd Byts,5.94,5.39,55.11,50.29,9.23,8.73
Pkt Len Var,7429.01,7357.34,8301.08,8081.03,0.96,2.65
Pkt Len Std,63.02,62.66,58.86,58.34,0.56,0.88
Flow IAT Min,211693.54,214023.4,414393.19,412382.97,1.1,0.49
Fwd Seg Size Min,33.59,33.6,3.4,3.36,0.04,1.21
Fwd Pkt Len Std,54.47,54.64,52.32,52.08,0.31,0.44
