,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,26883.0,26883.0,0.0,0.0,0.0,0.0
Fwd IAT Tot,0.0,0.0,0.0,0.0,0.0,0.0
Fwd IAT Max,0.0,0.0,0.0,0.0,0.0,0.0
Dst Port,21.0,21.0,0.0,0.0,0.0,0.0
Fwd IAT Mean,0.0,0.0,0.0,0.0,2393111.98,3395499.64
Fwd Header Len,40.0,40.0,0.0,0.0,0.0,0.0
Flow IAT Max,9.86,9.33,9.06,8.84,5.36,2.39
Flow Duration,9.86,10.27,9.06,9.44,4.24,4.2
Fwd Pkts/s,329629.19,333467.01,332476.35,334328.1,1.16,0.56
TotLen Fwd Pkts,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Byts,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Pkt Len Mean,0.0,0.0,0.0,0.0,1190213.85,2478156.25
Fwd Seg Size Avg,0.0,0.0,0.0,0.0,4958185.81,4704070.26
Fwd Pkt Len Max,0.0,0.0,0.0,0.0,0.0,0.0
Flow IAT Mean,9.86,9.01,9.06,8.81,8.6,2.77
Flow Pkts/s,659258.37,719266.89,664952.7,725416.7,9.1,9.09
Pkt Len Max,0.0,0.0,0.0,0.0,0.0,0.0
Pkt Len Mean,0.0,0.0,0.0,0.0,6220976.03,5093200.91
Fwd IAT Min,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Pkt Len Mean,0.0,0.0,0.0,0.0,1087268.97,2341448.08
Pkt Size Avg,0.0,0.0,0.0,0.0,6702189.68,5112688.54
Bwd Seg Size Avg,0.0,0.0,0.0,0.0,633444.8,1818850.54
Bwd Pkt Len Max,0.0,0.0,0.0,0.0,0.0,0.0
TotLen Bwd Pkts,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Bwd Byts,0.0,0.0,0.0,0.0,0.0,0.0
Pkt Len Var,0.0,0.0,0.0,0.0,1438298.08,2742526.79
Pkt Len Std,0.0,0.0,0.0,0.0,1770281.01,3068679.82
Flow IAT Min,9.86,9.32,9.06,9.0,5.45,0.63
Fwd Seg Size Min,40.0,40.0,0.0,0.0,0.0,0.0
Fwd Pkt Len Std,0.0,0.0,0.0,0.0,5106232.51,4650042.06
