,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,3824.02,4231.45,9190.58,11578.29,10.65,25.98
Fwd IAT Tot,11326921.07,313688.94,32132103.07,4047394.03,97.23,87.4
Fwd IAT Max,4059919.36,181698.86,13196629.84,1399760.0,95.52,89.39
Dst Port,8449.81,27542.32,17734.82,23937.46,225.95,34.97
Fwd IAT Mean,1357997.57,76032.87,6058791.94,536722.94,94.4,91.14
Fwd Header Len,82.92,38.16,152.39,34.98,53.98,77.05
Flow IAT Max,4387342.55,167870.41,13299928.14,2252916.42,96.17,83.06
Flow Duration,11854402.85,406415.58,32182725.63,4758677.07,96.57,85.21
Fwd Pkts/s,63400.17,229646.96,238737.26,427807.78,262.22,79.2
TotLen Fwd Pkts,312.37,35.57,1187.7,168.15,88.61,85.84
Subflow Fwd Byts,312.37,32.87,1187.7,153.46,89.48,87.08
Fwd Pkt Len Mean,39.38,4.98,54.59,17.1,87.36,68.67
Fwd Seg Size Avg,39.38,6.05,54.59,20.33,84.64,62.76
Fwd Pkt Len Max,139.14,14.05,255.38,57.61,89.9,77.44
Flow IAT Mean,1017419.9,80790.13,5505499.07,1094033.13,92.06,80.13
Flow Pkts/s,104877.67,313757.42,339859.97,539844.56,199.17,58.84
Pkt Len Max,303.59,23.92,508.95,125.62,92.12,75.32
Pkt Len Mean,68.27,5.9,102.32,21.93,91.35,78.57
Fwd IAT Min,596868.38,75111.47,5614143.85,847331.52,87.42,84.91
Bwd Pkt Len Mean,104.26,6.11,172.45,39.11,94.13,77.32
Pkt Size Avg,80.15,9.61,107.67,33.6,88.01,68.79
Bwd Seg Size Avg,104.26,7.27,172.45,42.48,93.03,75.37
Bwd Pkt Len Max,291.2,16.46,505.87,134.78,94.35,73.36
TotLen Bwd Pkts,1477.44,78.36,10826.4,901.63,94.7,91.67
Subflow Bwd Byts,1477.44,81.47,10826.4,1097.68,94.49,89.86
Pkt Len Var,35378.97,2824.18,85532.09,20051.25,92.02,76.56
Pkt Len Std,94.51,13.25,162.64,63.81,85.98,60.76
Flow IAT Min,504221.53,416179.63,5322515.14,8482017.25,17.46,59.36
Fwd Seg Size Min,17.1,22.6,7.44,4.84,32.16,34.99
Fwd Pkt Len Std,42.42,8.89,86.17,34.28,79.04,60.22
