,precision,recall,f1-score,support
0,0.9998637674807054,0.9917979812223123,0.9958145420330294,170202.0
1,1.0,0.9988804925832634,0.999439932791935,3573.0
2,0.8955223880597015,0.9836065573770492,0.9375,122.0
3,1.0,0.9130434782608695,0.9545454545454546,46.0
4,0.9995274660366213,1.0,0.999763677183032,8461.0
5,0.9914040114613181,1.0,0.99568345323741,346.0
6,0.9960360852925095,0.9991772932949403,0.9976042165788213,7293.0
7,1.0,1.0,1.0,525.0
8,1.0,0.9998183469573115,0.9999091652284494,5505.0
9,0.7777777777777778,0.6544715447154471,0.7108167770419426,246.0
10,0.9923664122137404,1.0,0.9961685823754789,130.0
11,0.8420074349442379,0.9096385542168675,0.8745173745173745,498.0
12,0.5975789784470033,0.9877989263055149,0.7446651949963208,2049.0
13,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
14,1.0,1.0,1.0,1485.0
accuracy,0.9921645103691807,0.9921645103691807,0.9921645103691807,0.9921645103691807
macro avg,0.9277075822318881,0.9507841724465521,0.9353305188195971,200498.0
weighted avg,0.9948442654220755,0.9921645103691807,0.9929881374744703,200498.0
