,precision,recall,f1-score,support
0,0.9997202247726082,0.986739286259856,0.9931873421763839,170202.0
1,0.9911111111111112,0.9986006157290792,0.9948417677401367,3573.0
2,0.5374449339207048,1.0,0.6991404011461319,122.0
3,0.7241379310344828,0.45652173913043476,0.56,46.0
4,0.9989374262101535,1.0,0.9994684306892682,8461.0
5,0.9633802816901409,0.9884393063583815,0.9757489300998573,346.0
6,0.9937175635072385,0.9976689976689976,0.9956893602463223,7293.0
7,0.9962049335863378,1.0,0.9980988593155894,525.0
8,0.9994552387869984,0.9998183469573115,0.9996367598982928,5505.0
9,0.5241935483870968,0.26422764227642276,0.35135135135135137,246.0
10,0.9844961240310077,0.9769230769230769,0.9806949806949807,130.0
11,0.7069243156199678,0.8815261044176707,0.7846291331546024,498.0
12,0.4834388699464199,0.9687652513421181,0.6450040617384241,2049.0
13,0.8333333333333334,0.29411764705882354,0.43478260869565216,17.0
14,0.9993256911665542,0.997979797979798,0.9986522911051213,1485.0
accuracy,0.9868776745902702,0.9868776745902702,0.9868776745902702,0.9868776745902702
macro avg,0.8490547684736105,0.8540885208067981,0.8273950852034743,200498.0
weighted avg,0.992277959457107,0.9868776745902702,0.988575668765218,200498.0
