,precision,recall,f1-score,support
0,0.9905822168372872,0.9943361417609664,0.992455629542969,170202.0
1,0.9997201231458158,0.9997201231458158,0.9997201231458158,3573.0
2,0.6108108108108108,0.9262295081967213,0.7361563517915309,122.0
3,0.9772727272727273,0.9347826086956522,0.9555555555555556,46.0
4,0.999409402315143,1.0,0.999704613930407,8461.0
5,0.9664804469273743,1.0,0.9829545454545454,346.0
6,0.99945085118067,0.9982174688057041,0.9988337792412705,7293.0
7,0.9794776119402985,1.0,0.9896324222431668,525.0
8,1.0,0.9998183469573115,0.9999091652284494,5505.0
9,0.514018691588785,0.6707317073170732,0.582010582010582,246.0
10,0.9769230769230769,0.9769230769230769,0.9769230769230769,130.0
11,0.8089622641509434,0.6887550200803213,0.7440347071583514,498.0
12,0.34462001504890893,0.2235236700829673,0.27116637063351096,2049.0
13,0.7142857142857143,0.29411764705882354,0.4166666666666667,17.0
14,0.9966442953020134,1.0,0.9983193277310924,1485.0
accuracy,0.9858701832437231,0.9858701832437231,0.9858701832437231,0.9858701832437231
macro avg,0.8585772165153045,0.8471436879349622,0.8429361944837993,200498.0
weighted avg,0.9837692734004707,0.9858701832437231,0.9846320948098604,200498.0
