,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,21532.17,21601.28,10674.48,10630.98,0.32,0.41
Fwd IAT Tot,291815.85,296651.86,149215.55,148120.61,1.66,0.73
Fwd IAT Max,83637.91,92651.15,51062.32,52955.66,10.78,3.71
Dst Port,22.0,22.0,0.0,0.0,0.0,0.0
Fwd IAT Mean,13649.32,14101.06,6986.44,7056.16,3.31,1.0
Fwd Header Len,586.32,590.76,279.27,280.17,0.76,0.32
Flow IAT Max,80871.55,81692.43,50483.01,46148.12,1.02,8.59
Flow Duration,292106.03,290179.43,149349.71,148094.88,0.66,0.84
Fwd Pkts/s,31181.44,29856.58,66810.61,63076.46,4.25,5.59
TotLen Fwd Pkts,1545.57,1548.14,775.16,770.38,0.17,0.62
Subflow Fwd Byts,1545.57,1547.46,775.16,775.05,0.12,0.01
Fwd Pkt Len Mean,69.08,68.06,34.81,34.72,1.47,0.27
Fwd Seg Size Avg,69.08,69.05,34.81,34.57,0.04,0.7
Fwd Pkt Len Max,511.46,514.12,256.42,253.4,0.52,1.18
Flow IAT Mean,6849.24,6987.43,3538.15,3497.44,2.02,1.15
Flow Pkts/s,62252.28,54816.53,133484.1,115511.99,11.94,13.46
Pkt Len Max,779.98,779.41,391.05,389.6,0.07,0.37
Pkt Len Mean,82.16,82.28,41.26,41.0,0.14,0.61
Fwd IAT Min,200.23,158.41,674.82,89.53,20.89,86.73
Bwd Pkt Len Mean,99.99,100.31,50.38,50.08,0.31,0.6
Pkt Size Avg,84.04,83.25,42.2,41.72,0.94,1.14
Bwd Seg Size Avg,99.99,100.94,50.38,50.03,0.95,0.69
Bwd Pkt Len Max,779.98,780.82,391.05,388.1,0.11,0.75
TotLen Bwd Pkts,2129.76,2126.4,1067.77,1068.0,0.16,0.02
Subflow Bwd Byts,2129.76,2134.99,1067.77,1060.17,0.25,0.71
Pkt Len Var,33319.79,33050.18,16720.05,16546.28,0.81,1.04
Pkt Len Std,163.17,164.12,81.83,80.86,0.58,1.18
Flow IAT Min,17.31,4.8,668.75,2.62,72.3,99.61
Fwd Seg Size Min,32.0,32.0,0.0,0.0,0.0,0.0
Fwd Pkt Len Std,109.5,109.87,54.93,54.29,0.34,1.16
