number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_solver,state
0,0.8442079040762875,2026-07-20 17:17:48.278404,2026-07-20 17:18:46.607936,0 days 00:00:58.329532,relu,0.021423021757741054,256,0.006358358856676255,2,256,192.0,,adam,COMPLETE
1,0.8538756246405211,2026-07-20 17:18:46.612474,2026-07-20 17:19:05.704992,0 days 00:00:19.092518,tanh,2.8585493941961936e-05,512,0.006847920095574782,1,64,,,adam,COMPLETE
2,0.5836314270306473,2026-07-20 17:19:05.708983,2026-07-20 17:19:34.056129,0 days 00:00:28.347146,tanh,0.055517216852447225,64,0.07886714129990492,3,64,160.0,160.0,adam,COMPLETE
3,0.8208823745853738,2026-07-20 17:19:34.059156,2026-07-20 17:20:49.662795,0 days 00:01:15.603639,tanh,3.618723330959624e-05,256,0.0036324869566766076,2,32,128.0,,sgd,COMPLETE
4,0.8223746481683666,2026-07-20 17:20:49.666799,2026-07-20 17:23:05.946090,0 days 00:02:16.279291,tanh,8.777815504719648e-05,64,0.0006516990611177178,3,256,160.0,256.0,sgd,COMPLETE
5,0.8445493922509032,2026-07-20 17:23:05.950064,2026-07-20 17:23:19.878459,0 days 00:00:13.928395,tanh,1.0656401760606457e-06,256,0.02795015916508337,1,224,,,adam,COMPLETE
6,0.8301580103151128,2026-07-20 17:23:19.888666,2026-07-20 17:23:34.503605,0 days 00:00:14.614939,relu,4.225874644996168e-05,128,0.015446089075047083,2,32,224.0,,sgd,COMPLETE
7,0.8334537488167202,2026-07-20 17:23:34.515177,2026-07-20 17:26:14.349873,0 days 00:02:39.834696,tanh,3.463037026119188e-06,512,0.000124247470836602,3,224,160.0,224.0,adam,COMPLETE
8,0.8452519039556772,2026-07-20 17:26:14.352426,2026-07-20 17:26:30.338052,0 days 00:00:15.985626,relu,6.398916399944082e-06,256,0.06153085601625314,1,128,,,sgd,COMPLETE
9,0.8331468164826726,2026-07-20 17:26:30.348014,2026-07-20 17:26:53.089086,0 days 00:00:22.741072,tanh,3.5502556123130782e-06,256,0.00048284249748183273,1,256,,,adam,COMPLETE
