 Init_Win_bytes_forward, Fwd IAT Total, Fwd IAT Max, Destination Port, Fwd IAT Mean, Fwd Header Length, Flow IAT Max, Flow Duration, Fwd Packets/s, Total Length of Fwd Packets, Subflow Fwd Bytes, Fwd Packet Length Mean, Avg Fwd Segment Size, Fwd Packet Length Max, Flow IAT Mean, Flow Packets/s, Max Packet Length, Packet Length Mean, Fwd IAT Min, Bwd Packet Length Mean, Average Packet Size, Avg Bwd Segment Size, Bwd Packet Length Max, Total Length of Bwd Packets, Subflow Bwd Bytes, Packet Length Variance, Packet Length Std, Flow IAT Min, min_seg_size_forward, Fwd Packet Length Std, Label
225,37458,37458,80,37458.0,64,37458,37458,53.39313364,0,0,0.0,0.0,0,37458.0,53.39313364,0,0.0,37458,0.0,0.0,0.0,0,0,0,0.0,0.0,37458,32,0.0,DoS attacks-Hulk
241,0,0,22,0.0,32,11,11,90909.0909090909,0,0,0.0,0.0,0,11.0,181818.181818182,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,11,32,0.0,SSH-Bruteforce
26883,0,0,21,0.0,40,6,6,166666.6667,0,0,0.0,0.0,0,6.0,333333.3333,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,40,0.0,DoS attacks-SlowHTTPTest
26883,0,0,21,0.0,40,3,3,333333.3333,0,0,0.0,0.0,0,3.0,666666.6667,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,3,40,0.0,DoS attacks-SlowHTTPTest
-1,25199,25199,53,25199.0,16,54833,80078,24.97564874247609,66,66,33.0,33.0,33,26692.666666666664,49.95129748495217,123,69.0,25199,123.0,86.25,123.0,123,246,246,2430.0,49.29503017546495,46,8,0.0,Benign
2052,471,471,8080,471.0,40,471,471,4246.284501,0,0,0.0,0.0,0,471.0,4246.284501,0,0.0,471,0.0,0.0,0.0,0,0,0,0.0,0.0,471,20,0.0,Bot
26883,0,0,21,0.0,40,22,22,45454.54545,0,0,0.0,0.0,0,22.0,90909.09091,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,22,40,0.0,DoS attacks-SlowHTTPTest
-1,120000000,719527,80,1125.73829,851760,719527,119856230,888.3142745,3407040,3407040,32.0,32.0,32,1125.73829,888.3142745,32,32.0,0,0.0,32.00030055,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
2052,511,511,8080,511.0,40,511,511,3913.894325,0,0,0.0,0.0,0,511.0,3913.894325,0,0.0,511,0.0,0.0,0.0,0,0,0,0.0,0.0,511,20,0.0,Bot
2049,31300000,31300000,80,31300000.0,40,31300000,31319070,0.063858857,0,0,0.0,0.0,0,31300000.0,0.063858857,0,0.0,31300000,0.0,0.0,0.0,0,0,0,0.0,0.0,31300000,20,0.0,DDoS attacks-LOIC-HTTP
