Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std,Label
8192,340,296,80,170.0,72,1804887,1805257,1.661813249,20,20,6.666666667,6.666666667,20,300876.1667,3.877564247,964,123.0,44,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,5,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,14900000,14900000,80,14900000.0,40,14900000,14852970,0.134653204,0,0,0.0,0.0,0,14900000.0,0.134653204,0,0.0,14900000,0.0,0.0,0.0,0,0,0,0.0,0.0,14900000,20,0.0,DDoS attacks-LOIC-HTTP
2049,9764797,9764797,80,9764797.0,40,9764797,9764797,0.204817366,0,0,0.0,0.0,0,9764797.0,0.204817366,0,0.0,9764797,0.0,0.0,0.0,0,0,0,0.0,0.0,9764797,20,0.0,DDoS attacks-LOIC-HTTP
8192,358,356,80,179.0,72,1275778,1276166,2.350791355,20,20,6.666666667,6.666666667,20,212694.3333,5.485179828,964,123.0,2,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,2,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,29900000,29900000,80,29900000.0,40,29900000,29882882,0.066927949,0,0,0.0,0.0,0,29900000.0,0.066927949,0,0.0,29900000,0.0,0.0,0.0,0,0,0,0.0,0.0,29900000,20,0.0,DDoS attacks-LOIC-HTTP
2049,28000000,28000000,80,28000000.0,40,28000000,28020539,0.071376214,0,0,0.0,0.0,0,28000000.0,0.071376214,0,0.0,28000000,0.0,0.0,0.0,0,0,0,0.0,0.0,28000000,20,0.0,DDoS attacks-LOIC-HTTP
8192,1674,1386,80,837.0,72,1143016,1144713,2.620744239,20,20,6.666666667,6.666666667,20,190785.5,6.115069891,964,123.0,288,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
252,13000000,13000000,80,13000000.0,40,13000000,12981961,0.15405993,0,0,0.0,0.0,0,13000000.0,0.15405993,0,0.0,13000000,0.0,0.0,0.0,0,0,0,0.0,0.0,13000000,20,0.0,DDoS attacks-LOIC-HTTP
2049,20900000,20900000,80,20900000.0,40,20900000,20945803,0.095484523,0,0,0.0,0.0,0,20900000.0,0.095484523,0,0.0,20900000,0.0,0.0,0.0,0,0,0,0.0,0.0,20900000,20,0.0,DDoS attacks-LOIC-HTTP
2049,29900000,29900000,80,29900000.0,40,29900000,29911289,0.066864387,0,0,0.0,0.0,0,29900000.0,0.066864387,0,0.0,29900000,0.0,0.0,0.0,0,0,0,0.0,0.0,29900000,20,0.0,DDoS attacks-LOIC-HTTP
8192,404,402,80,202.0,72,742728,743168,4.036772305,20,20,6.666666667,6.666666667,20,123861.3333,9.419135377,964,123.0,2,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,2,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,23000000,23000000,80,23000000.0,40,23000000,22985897,0.087009874,0,0,0.0,0.0,0,23000000.0,0.087009874,0,0.0,23000000,0.0,0.0,0.0,0,0,0,0.0,0.0,23000000,20,0.0,DDoS attacks-LOIC-HTTP
8192,378,342,80,189.0,72,1589536,1589958,1.886842294,20,20,6.666666667,6.666666667,20,264993.0,4.402632019,964,123.0,36,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,4,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,20500000,20500000,80,20500000.0,40,20500000,20545128,0.09734668,0,0,0.0,0.0,0,20500000.0,0.09734668,0,0.0,20500000,0.0,0.0,0.0,0,0,0,0.0,0.0,20500000,20,0.0,DDoS attacks-LOIC-HTTP
8192,394,340,80,197.0,72,1114403,1114827,2.691000487,20,20,6.666666667,6.666666667,20,185804.5,6.279001136,964,123.0,54,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,4,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,312,309,80,156.0,72,1448931,1449275,2.070000518,20,20,6.666666667,6.666666667,20,241545.8333,4.830001208,964,123.0,3,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,38700000,38700000,80,38700000.0,40,38700000,38701264,0.051677899,0,0,0.0,0.0,0,38700000.0,0.051677899,0,0.0,38700000,0.0,0.0,0.0,0,0,0,0.0,0.0,38700000,20,0.0,DDoS attacks-LOIC-HTTP
2049,15900000,15900000,80,15900000.0,40,15900000,15939519,0.125474301,0,0,0.0,0.0,0,15900000.0,0.125474301,0,0.0,15900000,0.0,0.0,0.0,0,0,0,0.0,0.0,15900000,20,0.0,DDoS attacks-LOIC-HTTP
8192,349,312,80,174.5,72,1529235,1529618,1.961273991,20,20,6.666666667,6.666666667,20,254936.3333,4.57630598,964,123.0,37,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,11,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,36700000,36700000,80,36700000.0,40,36700000,36685150,0.054517973,0,0,0.0,0.0,0,36700000.0,0.054517973,0,0.0,36700000,0.0,0.0,0.0,0,0,0,0.0,0.0,36700000,20,0.0,DDoS attacks-LOIC-HTTP
8192,435,398,80,217.5,72,913081,913561,3.283852967,20,20,6.666666667,6.666666667,20,152260.1667,7.662323589,964,123.0,37,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,7,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,20500000,20500000,80,20500000.0,40,20500000,20474030,0.097684725,0,0,0.0,0.0,0,20500000.0,0.097684725,0,0.0,20500000,0.0,0.0,0.0,0,0,0,0.0,0.0,20500000,20,0.0,DDoS attacks-LOIC-HTTP
2049,23700000,23700000,80,23700000.0,40,23700000,23722849,0.084306906,0,0,0.0,0.0,0,23700000.0,0.084306906,0,0.0,23700000,0.0,0.0,0.0,0,0,0,0.0,0.0,23700000,20,0.0,DDoS attacks-LOIC-HTTP
8192,349,341,80,174.5,72,1045413,1045787,2.868652986,20,20,6.666666667,6.666666667,20,174297.8333,6.693523633,964,123.0,8,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,5,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,288,285,80,144.0,72,1398176,1398510,2.145140185,20,20,6.666666667,6.666666667,20,233085.0,5.005327098,964,123.0,3,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,362,361,80,181.0,72,1747889,1748281,1.715971288,20,20,6.666666667,6.666666667,20,291380.1667,4.003933006,964,123.0,1,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,1,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,13600000,13600000,80,13600000.0,40,13600000,13631685,0.146717005,0,0,0.0,0.0,0,13600000.0,0.146717005,0,0.0,13600000,0.0,0.0,0.0,0,0,0,0.0,0.0,13600000,20,0.0,DDoS attacks-LOIC-HTTP
8192,402,401,80,201.0,72,881996,882431,3.39969924,20,20,6.666666667,6.666666667,20,147071.8333,7.93263156,964,123.0,1,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,1,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,339,323,80,169.5,72,1175480,1175851,2.551343665,20,20,6.666666667,6.666666667,20,195975.1667,5.953135219,964,123.0,16,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,4,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,405,403,80,202.5,72,780094,780528,3.843552057,20,20,6.666666667,6.666666667,20,130088.0,8.968288133,964,123.0,2,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,2,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,308,305,80,154.0,72,885928,886282,3.384927145,20,20,6.666666667,6.666666667,20,147713.6667,7.898163339,964,123.0,3,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,425,400,80,212.5,72,781906,782365,3.834527363,20,20,6.666666667,6.666666667,20,130394.1667,8.947230513,964,123.0,25,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,11,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,30100000,30100000,80,30100000.0,40,30100000,30128112,0.066383184,0,0,0.0,0.0,0,30100000.0,0.066383184,0,0.0,30100000,0.0,0.0,0.0,0,0,0,0.0,0.0,30100000,20,0.0,DDoS attacks-LOIC-HTTP
8192,289,252,80,144.5,72,1397336,1397650,2.14646013,20,20,6.666666667,6.666666667,20,232941.6667,5.008406969,964,123.0,37,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,319,284,80,159.5,72,1770727,1771075,1.693886481,20,20,6.666666667,6.666666667,20,295179.1667,3.95240179,964,123.0,35,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,7,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,2124,1825,80,1062.0,72,1529415,1531575,1.958767935,20,20,6.666666667,6.666666667,20,255262.5,4.570458515,964,123.0,299,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,5,20,11.54700538,DDoS attacks-LOIC-HTTP
8192,1349,978,80,674.5,72,1403246,1404635,2.135786165,20,20,6.666666667,6.666666667,20,234105.8333,4.983501052,964,123.0,371,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,18,20,11.54700538,DDoS attacks-LOIC-HTTP
2049,24700000,24700000,80,24700000.0,40,24700000,24731193,0.080869532,0,0,0.0,0.0,0,24700000.0,0.080869532,0,0.0,24700000,0.0,0.0,0.0,0,0,0,0.0,0.0,24700000,20,0.0,DDoS attacks-LOIC-HTTP
2049,14000000,14000000,80,14000000.0,40,14000000,13967646,0.14318805,0,0,0.0,0.0,0,14000000.0,0.14318805,0,0.0,14000000,0.0,0.0,0.0,0,0,0,0.0,0.0,14000000,20,0.0,DDoS attacks-LOIC-HTTP
