Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
8192,495341,101411,445,82556.8333333333,152,98662,495341,14.1316789848,364,364,52.0,52.0,103,45031.0,24.2257354025,409,72.7692307692,75,116.4,78.8333333333,116.4,409,582,582,11997.5256410256,109.5332170669,32,20,49.2172056636
8192,381742,98249,443,47717.75,192,75299,381742,23.576132571213016,581,581,64.55555555555556,64.55555555555556,198,23858.875000000004,44.532694856735695,1460,247.38888888888889,14,484.0,261.94117647058823,484.0,1460,3872,3872,215980.2516339869,464.7367552001745,1,20,90.31764931494718
-1,0,0,53,0.0,8,241,241,4149.377593360996,54,54,54.0,54.0,54,241.0,8298.755186721992,70,59.333333333333336,0,70.0,89.0,70.0,70,70,70,85.33333333333333,9.237604307034012,241,8,0.0
-1,0,0,53,0.0,8,1416,1416,706.2146892655368,42,42,42.0,42.0,42,1416.0,1412.4293785310736,102,62.0,0,102.0,93.0,102.0,102,102,102,1200.0,34.64101615137755,1416,8,0.0
-1,0,0,53,0.0,8,1557,1557,642.2607578676943,42,42,42.0,42.0,42,1557.0,1284.521515735389,102,62.0,0,102.0,93.0,102.0,102,102,102,1200.0,34.64101615137755,1557,8,0.0
-1,0,0,53,0.0,8,574,574,1742.1602787457,38,38,38.0,38.0,38,574.0,3484.3205574913,166,80.6666666667,0,166.0,121.0,166.0,166,166,166,5461.3333333333,73.9008344563,574,8,0.0
8192,1667202,1115778,3389,238171.7142857143,172,953464,1667202,4.7984587350543,1148,1148,143.5,143.5,677,111146.8,9.5969174701086,1173,160.5294117647059,0,197.625,170.5625,197.625,1173,1581,1581,97371.51470588232,312.04409096453395,0,20,228.12966237897004
8192,62219,61872,80,20739.6666666667,92,5793292,5855511,0.6831171524,97,97,24.25,24.25,97,836501.571428571,1.3662343047,232,36.5555555556,108,58.0,41.125,58.0,232,232,232,6400.7777777778,80.0048609634,41,20,48.5
8192,2499154,1259617,3389,357022.0,168,953146,2499154,3.20108324657064,1148,1148,143.5,143.5,677,178511.0,6.002031087319949,1173,170.56250000000003,17604,225.8571428571429,181.9333333333333,225.8571428571429,1173,1581,1581,102037.59583333335,319.4332415909987,57,20,228.12966237897004
219,4424656,4360948,51774,1106164.0,168,4360940,4424656,1.130031352,935,935,187.0,187.0,935,632093.7143,1.808050163,935,145.1111111,23,123.6666667,163.25,123.6666667,371,371,371,102793.8611,320.6148174,4,32,418.1447118
