Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
8192,652,586,8080,326.0,72,10473,11529,260.213375,326,326,108.6666667,108.6666667,326,1921.5,607.1645416,326,56.875,66,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,18,20,188.2161878
8192,494,443,8080,247.0,72,10819,11665,257.1795971,326,326,108.6666667,108.6666667,326,1944.166667,600.0857265,326,56.875,51,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,22,20,188.2161878
8192,438,387,8080,219.0,72,8880,9729,308.3564601,326,326,108.6666667,108.6666667,326,1621.5,719.4984068,326,56.875,51,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,20,20,188.2161878
2052,525,525,8080,525.0,40,525,525,3809.52381,0,0,0.0,0.0,0,525.0,3809.52381,0,0.0,525,0.0,0.0,0.0,0,0,0,0.0,0.0,525,20,0.0
8192,590,526,8080,295.0,72,9611,10503,285.6326764,326,326,108.6666667,108.6666667,326,1750.5,666.4762449,326,56.875,64,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,1,20,188.2161878
8192,525,474,8080,262.5,72,9063,9989,300.3303634,326,326,108.6666667,108.6666667,326,1664.833333,700.7708479,326,56.875,51,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,30,20,188.2161878
2052,539,539,8080,539.0,40,539,539,3710.575139,0,0,0.0,0.0,0,539.0,3710.575139,0,0.0,539,0.0,0.0,0.0,0,0,0,0.0,0.0,539,20,0.0
8192,545,495,8080,272.5,72,9955,10907,275.0527184,326,326,108.6666667,108.6666667,326,1817.833333,641.7896764,326,56.875,50,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,20,20,188.2161878
256,581,581,8080,581.0,40,581,581,3442.340792,0,0,0.0,0.0,0,581.0,3442.340792,0,0.0,581,0.0,0.0,0.0,0,0,0,0.0,0.0,581,20,0.0
2052,560,560,8080,560.0,40,560,560,3571.428571,0,0,0.0,0.0,0,560.0,3571.428571,0,0.0,560,0.0,0.0,0.0,0,0,0,0.0,0.0,560,20,0.0
