Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
32738,1805,1805,80,1805.0,40,1805,1805,1108.033241,0,0,0.0,0.0,0,1805.0,1108.033241,0,0.0,1805,0.0,0.0,0.0,0,0,0,0.0,0.0,1805,20,0.0
32738,909,909,80,909.0,40,909,909,2200.220022,0,0,0.0,0.0,0,909.0,2200.220022,0,0.0,909,0.0,0.0,0.0,0,0,0,0.0,0.0,909,20,0.0
32738,1147,1147,80,1147.0,40,1147,1147,1743.679163,0,0,0.0,0.0,0,1147.0,1743.679163,0,0.0,1147,0.0,0.0,0.0,0,0,0,0.0,0.0,1147,20,0.0
32738,2158,2158,80,2158.0,40,2158,2158,926.7840593,0,0,0.0,0.0,0,2158.0,926.7840593,0,0.0,2158,0.0,0.0,0.0,0,0,0,0.0,0.0,2158,20,0.0
32738,5452,5452,80,5452.0,40,5452,5452,366.8378577,0,0,0.0,0.0,0,5452.0,366.8378577,0,0.0,5452,0.0,0.0,0.0,0,0,0,0.0,0.0,5452,20,0.0
32738,14114,14114,80,14114.0,40,14114,14114,141.7032733,0,0,0.0,0.0,0,14114.0,141.7032733,0,0.0,14114,0.0,0.0,0.0,0,0,0,0.0,0.0,14114,20,0.0
32738,5259,5259,80,5259.0,40,5259,5259,380.3004373,0,0,0.0,0.0,0,5259.0,380.3004373,0,0.0,5259,0.0,0.0,0.0,0,0,0,0.0,0.0,5259,20,0.0
32738,2158,2158,80,2158.0,40,2158,2158,926.7840593,0,0,0.0,0.0,0,2158.0,926.7840593,0,0.0,2158,0.0,0.0,0.0,0,0,0,0.0,0.0,2158,20,0.0
32738,15223,15223,80,15223.0,40,15223,15223,131.3801485,0,0,0.0,0.0,0,15223.0,131.3801485,0,0.0,15223,0.0,0.0,0.0,0,0,0,0.0,0.0,15223,20,0.0
32738,11085,11085,80,11085.0,40,11085,11085,180.4239964,0,0,0.0,0.0,0,11085.0,180.4239964,0,0.0,11085,0.0,0.0,0.0,0,0,0,0.0,0.0,11085,20,0.0
32738,10832,10832,80,10832.0,40,10832,10832,184.6381093,0,0,0.0,0.0,0,10832.0,184.6381093,0,0.0,10832,0.0,0.0,0.0,0,0,0,0.0,0.0,10832,20,0.0
32738,1498,1498,80,1498.0,40,1498,1498,1335.113485,0,0,0.0,0.0,0,1498.0,1335.113485,0,0.0,1498,0.0,0.0,0.0,0,0,0,0.0,0.0,1498,20,0.0
32738,6610,6610,80,6610.0,40,6610,6610,302.5718608,0,0,0.0,0.0,0,6610.0,302.5718608,0,0.0,6610,0.0,0.0,0.0,0,0,0,0.0,0.0,6610,20,0.0
32738,2689,2689,80,2689.0,40,2689,2689,743.7709186,0,0,0.0,0.0,0,2689.0,743.7709186,0,0.0,2689,0.0,0.0,0.0,0,0,0,0.0,0.0,2689,20,0.0
65535,11843,11515,80,5921.5,72,11515,12119,247.545177,326,326,108.6666667,108.6666667,326,2019.833333,577.605413,935,157.625,328,233.75,180.1428571,233.75,935,935,935,111676.5536,334.1804207,7,20,188.2161878
32738,15566,15566,80,15566.0,40,15566,15566,128.48516,0,0,0.0,0.0,0,15566.0,128.48516,0,0.0,15566,0.0,0.0,0.0,0,0,0,0.0,0.0,15566,20,0.0
32738,1371,1371,80,1371.0,40,1371,1371,1458.789205,0,0,0.0,0.0,0,1371.0,1458.789205,0,0.0,1371,0.0,0.0,0.0,0,0,0,0.0,0.0,1371,20,0.0
65535,11750,11341,80,5875.0,72,11341,14801,202.6890075,313,313,104.3333333,104.3333333,313,2466.833333,472.9410175,935,156.0,409,233.75,178.2857143,233.75,935,935,935,111072.2857,333.2750901,3,20,180.7106343
32738,8231,8231,80,8231.0,40,8231,8231,242.9838416,0,0,0.0,0.0,0,8231.0,242.9838416,0,0.0,8231,0.0,0.0,0.0,0,0,0,0.0,0.0,8231,20,0.0
32738,15365,15365,80,15365.0,40,15365,15365,130.1659616,0,0,0.0,0.0,0,15365.0,130.1659616,0,0.0,15365,0.0,0.0,0.0,0,0,0,0.0,0.0,15365,20,0.0
32738,1247,1247,80,1247.0,40,1247,1247,1603.849238,0,0,0.0,0.0,0,1247.0,1603.849238,0,0.0,1247,0.0,0.0,0.0,0,0,0,0.0,0.0,1247,20,0.0
