Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
26883,249960,160842,80,62490.0,168,160842,249960,20.0032005121,362,362,72.4,72.4,362,35708.5714285714,32.0051208193,662,113.7777777778,149,220.6666666667,128.0,220.6666666667,662,662,662,56597.4444444444,237.9021741062,4,32,161.891321571
26883,7090920,6963885,80,1772730.0,168,6963589,7090920,0.7051271203,555,555,111.0,111.0,555,1012988.57142857,1.1282033925,972,169.6666666667,76,324.0,190.875,324.0,972,972,972,124216.0,352.4429031772,6,32,248.2035455025
226,1983945,1983945,80,1983945.0,64,1983945,1983945,1.0080924622,0,0,0.0,0.0,0,1983945.0,1.0080924622,0,0.0,1983945,0.0,0.0,0.0,0,0,0,0.0,0.0,1983945,32,0.0
26883,5017962,5017465,80,1672654.0,136,5017133,10019070,0.3992386519,397,397,99.25,99.25,397,1431295.71428571,0.7984773038,972,152.1111111111,208,243.0,171.125,243.0,972,972,972,111769.111111111,334.3188763907,5,32,198.5
26883,6987070,6986770,80,2329023.33333333,136,6986460,11988174,0.3336621574,380,380,95.0,95.0,380,1712596.28571429,0.6673243148,972,150.2222222222,24,243.0,169.0,243.0,972,972,972,110760.444444444,332.8069176631,4,32,190.0
26883,7041756,6852575,80,1760439.0,168,6852302,7041756,0.7100501636,419,419,83.8,83.8,419,1005965.14285714,1.1360802618,972,154.5555555556,279,324.0,173.875,324.0,972,972,972,113169.777777778,336.4071607112,3,32,187.3824965145
26883,6617168,6616860,80,2205722.66666667,136,6616579,11621582,0.3441872199,419,419,104.75,104.75,419,1660226.0,0.6883744399,662,120.1111111111,26,165.5,135.125,165.5,662,662,662,60495.6111111111,245.9585556778,4,32,209.5
26883,6953966,6952244,80,2317988.66666667,136,6951711,11957219,0.3345259462,515,515,128.75,128.75,515,1708174.14285714,0.6690518924,972,165.2222222222,291,243.0,185.875,243.0,972,972,972,120540.444444444,347.189349555,3,32,257.5
26883,593022,590956,80,148255.5,168,590956,593022,8.4313904037,498,498,99.6,99.6,498,84717.4285714286,13.490224646,972,163.3333333333,297,324.0,183.75,324.0,972,972,972,119086.0,345.0883944731,7,32,222.712370559
221,23004873,23004873,80,23004873.0,64,23004873,23004873,0.0869381022,0,0,0.0,0.0,0,23004873.0,0.0869381022,0,0.0,23004873,0.0,0.0,0.0,0,0,0,0.0,0.0,23004873,32,0.0
26883,1314,968,80,438.0,136,5002063,5003377,0.7994600447,539,539,134.75,134.75,539,714768.142857143,1.5989200894,972,167.8888888889,39,243.0,188.875,243.0,972,972,972,122703.111111111,350.2900385554,5,32,269.5
226,32240748,32240748,80,32240748.0,64,32240748,32240748,0.0620333002,0,0,0.0,0.0,0,32240748.0,0.0620333002,0,0.0,32240748,0.0,0.0,0.0,0,0,0,0.0,0.0,32240748,32,0.0
26883,380959,380523,80,126986.333333333,136,5001792,5382751,0.7431144409,345,345,86.25,86.25,345,768964.428571429,1.4862288818,662,111.8888888889,146,165.5,125.875,165.5,662,662,662,55574.6111111111,235.7426798675,6,32,172.5
26883,17624,17254,80,5874.6666666667,136,5004478,5022102,0.7964792432,465,465,116.25,116.25,465,717443.142857143,1.5929584863,662,125.2222222222,43,165.5,140.875,165.5,662,662,662,64167.9444444444,253.3139246951,7,32,232.5
226,61691139,61691139,80,61691139.0,64,61691139,61691139,0.0324195668,0,0,0.0,0.0,0,61691139.0,0.0324195668,0,0.0,61691139,0.0,0.0,0.0,0,0,0,0.0,0.0,61691139,32,0.0
226,44122560,44122560,80,44122560.0,64,44122560,44122560,0.0453282856,0,0,0.0,0.0,0,44122560.0,0.0453282856,0,0.0,44122560,0.0,0.0,0.0,0,0,0,0.0,0.0,44122560,32,0.0
26883,49436,46865,80,12359.0,168,46865,49436,101.1408690023,354,354,70.8,70.8,354,7062.2857142857,161.8253904038,972,147.3333333333,43,324.0,165.75,324.0,972,972,972,109342.0,330.6690188088,7,32,158.313612807
221,9097764,9097764,80,9097764.0,64,9097764,9097764,0.2198342362,0,0,0.0,0.0,0,9097764.0,0.2198342362,0,0.0,9097764,0.0,0.0,0.0,0,0,0,0.0,0.0,9097764,32,0.0
26883,38753,34536,80,12917.6666666667,136,5003469,5042222,0.7933010486,373,373,93.25,93.25,373,720317.428571429,1.5866020972,662,115.0,258,165.5,129.375,165.5,662,662,662,57293.5,239.3606066169,5,32,186.5
26883,35911,35606,80,11970.3333333333,136,5003754,5039665,0.7937035497,368,368,92.0,92.0,368,719952.142857143,1.5874070995,972,148.8888888889,25,243.0,167.5,243.0,972,972,972,110087.111111111,331.7937779873,4,32,184.0
226,16076211,16076211,80,16076211.0,64,16076211,16076211,0.1244074241,0,0,0.0,0.0,0,16076211.0,0.1244074241,0,0.0,16076211,0.0,0.0,0.0,0,0,0,0.0,0.0,16076211,32,0.0
26883,53245844,21225665,80,3803274.57142857,496,21225665,58250713,0.2575075776,4790,4790,319.3333333333,319.3333333333,479,3065827.0,0.3433434368,972,274.380952381,24,194.4,288.1,194.4,972,972,972,82910.5476190476,287.9419170927,16,32,233.7280674712
26883,4308174,4287156,80,1077043.5,168,4286706,4308174,1.1605845075,422,422,84.4,84.4,422,615453.428571429,1.856935212,972,154.8888888889,256,324.0,174.25,324.0,972,972,972,113369.111111111,336.7032983371,4,32,188.724137301
226,1988172,1988172,80,1988172.0,64,1988172,1988172,1.0059491835,0,0,0.0,0.0,0,1988172.0,1.0059491835,0,0.0,1988172,0.0,0.0,0.0,0,0,0,0.0,0.0,1988172,32,0.0
26883,1358,644,80,452.6666666667,136,5003868,5005226,0.799164713,287,287,71.75,71.75,287,715032.285714286,1.5983294261,662,105.4444444444,304,165.5,118.625,165.5,662,662,662,52568.2777777778,229.2777306626,6,32,143.5
26883,169479,156210,80,42369.75,168,156210,169479,29.5021802111,633,633,126.6,126.6,633,24211.2857142857,47.2034883378,972,178.3333333333,328,324.0,200.625,324.0,972,972,972,132406.0,363.8763526254,7,32,283.0862059515
26883,7287,6988,80,2429.0,136,5002903,5010190,0.798372916,353,353,88.25,88.25,353,715741.428571429,1.596745832,972,147.2222222222,24,243.0,165.625,243.0,972,972,972,109290.444444444,330.5910531827,7,32,176.5
221,1973948,1973948,80,1973948.0,64,1973948,1973948,1.0131979161,0,0,0.0,0.0,0,1973948.0,1.0131979161,0,0.0,1973948,0.0,0.0,0.0,0,0,0,0.0,0.0,1973948,32,0.0
26883,33271572,13056003,80,2559351.69230769,464,13056003,33271572,0.4207796373,3330,3330,237.8571428571,237.8571428571,370,2079473.25,0.5109467025,972,239.0,52,324.0,253.0588235294,324.0,972,972,972,67570.9411764706,259.9441116403,24,32,183.9807084966
26883,8939,8526,80,2979.6666666667,136,5002889,5011828,0.7981119863,380,380,95.0,95.0,380,715975.428571429,1.5962239726,972,150.2222222222,78,243.0,169.0,243.0,972,972,972,110760.444444444,332.8069176631,6,32,190.0
26883,7060,6147,80,2353.3333333333,136,5004154,5011214,0.7982097751,437,437,109.25,109.25,437,715887.714285714,1.5964195502,972,156.5555555556,279,243.0,176.125,243.0,972,972,972,114395.777777778,338.2244488173,6,32,218.5
226,1784121,1784121,80,1784121.0,64,1784121,1784121,1.1210002012,0,0,0.0,0.0,0,1784121.0,1.1210002012,0,0.0,1784121,0.0,0.0,0.0,0,0,0,0.0,0.0,1784121,32,0.0
226,23335945,23335945,80,23335945.0,64,23335945,23335945,0.0857046929,0,0,0.0,0.0,0,23335945.0,0.0857046929,0,0.0,23335945,0.0,0.0,0.0,0,0,0,0.0,0.0,23335945,32,0.0
26883,7005493,6965671,80,1751373.25,168,6965283,7005493,0.7137256436,512,512,102.4,102.4,512,1000784.71428571,1.1419610297,972,164.8888888889,67,324.0,185.5,324.0,972,972,972,120279.111111111,346.8127897167,4,32,228.973360896
226,1894763,1894763,80,1894763.0,64,1894763,1894763,1.0555409832,0,0,0.0,0.0,0,1894763.0,1.0555409832,0,0.0,1894763,0.0,0.0,0.0,0,0,0,0.0,0.0,1894763,32,0.0
221,43321592,43321592,80,43321592.0,64,43321592,43321592,0.0461663551,0,0,0.0,0.0,0,43321592.0,0.0461663551,0,0.0,43321592,0.0,0.0,0.0,0,0,0,0.0,0.0,43321592,32,0.0
226,9455644,9455644,80,9455644.0,64,9455644,9455644,0.2115138853,0,0,0.0,0.0,0,9455644.0,0.2115138853,0,0.0,9455644,0.0,0.0,0.0,0,0,0,0.0,0.0,9455644,32,0.0
226,1978132,1978132,80,1978132.0,64,1978132,1978132,1.011054874,0,0,0.0,0.0,0,1978132.0,1.011054874,0,0.0,1978132,0.0,0.0,0.0,0,0,0,0.0,0.0,1978132,32,0.0
221,16333909,16333909,80,16333909.0,64,16333909,16333909,0.122444664,0,0,0.0,0.0,0,16333909.0,0.122444664,0,0.0,16333909,0.0,0.0,0.0,0,0,0,0.0,0.0,16333909,32,0.0
26883,24120,23353,80,8040.0,136,5004596,5028716,0.7954316768,606,606,151.5,151.5,606,718388.0,1.5908633536,972,175.3333333333,311,243.0,197.25,243.0,972,972,972,129418.0,359.7471334146,7,32,303.0
226,2668876,2668876,80,2668876.0,64,2668876,2668876,0.7493791394,0,0,0.0,0.0,0,2668876.0,0.7493791394,0,0.0,2668876,0.0,0.0,0.0,0,0,0,0.0,0.0,2668876,32,0.0
26883,6987067,6973277,80,1746766.75,168,6972964,6987067,0.7156078509,453,453,90.6,90.6,453,998152.428571429,1.1449725614,972,158.3333333333,116,324.0,178.125,324.0,972,972,972,115546.0,339.9205789593,3,32,202.5877587615
221,9113148,9113148,80,9113148.0,64,9113148,9113148,0.2194631317,0,0,0.0,0.0,0,9113148.0,0.2194631317,0,0.0,9113148,0.0,0.0,0.0,0,0,0,0.0,0.0,9113148,32,0.0
26883,5479650,5260410,80,1369912.5,168,5260041,5479650,0.9124670371,422,422,84.4,84.4,422,782807.142857143,1.4599472594,972,154.8888888889,300,324.0,174.25,324.0,972,972,972,113369.111111111,336.7032983371,4,32,188.724137301
226,1968628,1968628,80,1968628.0,64,1968628,1968628,1.0159359717,0,0,0.0,0.0,0,1968628.0,1.0159359717,0,0.0,1968628,0.0,0.0,0.0,0,0,0,0.0,0.0,1968628,32,0.0
226,9571420,9571420,80,9571420.0,64,9571420,9571420,0.208955411,0,0,0.0,0.0,0,9571420.0,0.208955411,0,0.0,9571420,0.0,0.0,0.0,0,0,0,0.0,0.0,9571420,32,0.0
226,1654894,1654894,80,1654894.0,64,1654894,1654894,1.2085366193,0,0,0.0,0.0,0,1654894.0,1.2085366193,0,0.0,1654894,0.0,0.0,0.0,0,0,0,0.0,0.0,1654894,32,0.0
26883,66355,65068,80,16588.75,168,65068,66355,75.352271871,381,381,76.2,76.2,381,9479.2857142857,120.5636349936,972,150.3333333333,42,324.0,169.125,324.0,972,972,972,110818.0,332.8933763234,5,32,170.3883798855
226,1947850,1947850,80,1947850.0,64,1947850,1947850,1.0267731088,0,0,0.0,0.0,0,1947850.0,1.0267731088,0,0.0,1947850,0.0,0.0,0.0,0,0,0,0.0,0.0,1947850,32,0.0
26883,7170,6831,80,2390.0,136,5003448,5010618,0.7983047201,418,418,104.5,104.5,418,715802.571428571,1.5966094402,972,154.4444444444,24,243.0,173.75,243.0,972,972,972,113103.777777778,336.30905099,9,32,209.0
221,96003329,96003329,80,96003329.0,64,96003329,96003333,0.0208326101,421,421,210.5,210.5,421,48001666.5,0.0312489151,421,105.25,96003329,0.0,140.3333333333,0.0,0,0,0,44310.25,210.5,4,32,297.6919548795
26883,76928,76066,80,19232.0,168,76066,76928,64.9958402662,437,437,87.4,87.4,437,10989.7142857143,103.993344426,972,156.5555555556,23,324.0,176.125,324.0,972,972,972,114395.777777778,338.2244488173,7,32,195.4323412335
226,50769839,50769839,80,50769839.0,64,50769839,50769839,0.0393934674,0,0,0.0,0.0,0,50769839.0,0.0393934674,0,0.0,50769839,0.0,0.0,0.0,0,0,0,0.0,0.0,50769839,32,0.0
26883,7022013,6952895,80,1755503.25,168,6952547,7022013,0.7120465314,389,389,77.8,77.8,389,1003144.71428571,1.1392744502,662,116.7777777778,64,220.6666666667,131.375,220.6666666667,662,662,662,58353.9444444444,241.5656110551,6,32,173.9660886495
26883,2670,1274,80,890.0,136,5002812,5005482,0.7991238406,428,428,107.0,107.0,428,715068.857142857,1.5982476812,972,155.5555555556,319,243.0,175.0,243.0,972,972,972,113773.777777778,337.3036877619,5,32,214.0
26883,9387,9067,80,3129.0,136,5001683,5011070,0.7982327128,352,352,88.0,88.0,352,715867.142857143,1.5964654255,972,147.1111111111,24,243.0,165.5,243.0,972,972,972,109239.111111111,330.5134053425,7,32,176.0
226,1971988,1971988,80,1971988.0,64,1971988,1971988,1.0142049546,0,0,0.0,0.0,0,1971988.0,1.0142049546,0,0.0,1971988,0.0,0.0,0.0,0,0,0,0.0,0.0,1971988,32,0.0
221,43006946,43006946,80,43006946.0,64,43006946,43006946,0.0465041159,0,0,0.0,0.0,0,43006946.0,0.0465041159,0,0.0,43006946,0.0,0.0,0.0,0,0,0,0.0,0.0,43006946,32,0.0
226,1845319,1845319,80,1845319.0,64,1845319,1845319,1.0838234473,0,0,0.0,0.0,0,1845319.0,1.0838234473,0,0.0,1845319,0.0,0.0,0.0,0,0,0,0.0,0.0,1845319,32,0.0
26883,4322131,4278162,80,1080532.75,168,4277819,4322131,1.1568367548,382,382,76.4,76.4,382,617447.285714286,1.8509388077,972,150.4444444444,224,324.0,169.25,324.0,972,972,972,110875.777777778,332.9801462216,3,32,170.835593481
221,96094057,96094057,80,96094057.0,64,96094057,96094059,0.0208129412,374,374,187.0,187.0,374,48047029.5,0.0312194118,374,93.5,96094057,0.0,124.6666666667,0.0,0,0,0,34969.0,187.0,2,32,264.4579361638
26883,7061303,6729416,80,1765325.75,168,6729079,7061303,0.7080846127,455,455,91.0,91.0,455,1008757.57142857,1.1329353803,972,158.5555555556,32,324.0,178.375,324.0,972,972,972,115693.777777778,340.1378805393,5,32,203.4821859525
26883,6963417,6960676,80,2321139.0,136,6960351,11966634,0.3342627509,361,361,90.25,90.25,361,1709519.14285714,0.6685255018,972,148.1111111111,265,243.0,166.625,243.0,972,972,972,109709.111111111,331.2236572335,3,32,180.5
26883,15051,14450,80,5017.0,136,5002763,5017814,0.7971598788,332,332,83.0,83.0,332,716830.571428572,1.5943197576,662,110.4444444444,289,165.5,124.25,165.5,662,662,662,54835.7777777778,234.1704032917,5,32,166.0
226,1970063,1970063,80,1970063.0,64,1970063,1970063,1.0151959607,0,0,0.0,0.0,0,1970063.0,1.0151959607,0,0.0,1970063,0.0,0.0,0.0,0,0,0,0.0,0.0,1970063,32,0.0
221,2492763,2492763,80,2492763.0,64,2492763,2492763,0.8023225634,0,0,0.0,0.0,0,2492763.0,0.8023225634,0,0.0,2492763,0.0,0.0,0.0,0,0,0,0.0,0.0,2492763,32,0.0
26883,92162,91372,80,30720.6666666667,136,5001293,5093455,0.7853215548,456,456,114.0,114.0,456,727636.428571429,1.5706431096,662,124.2222222222,305,165.5,139.75,165.5,662,662,662,63412.4444444444,251.8182766291,3,32,228.0
