Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
8192,593771,156234,445,74221.375,192,156234,593771,15.15735864,279,279,31.0,31.0,139,45674.69231,23.57811345,139,32.66666667,384,42.2,35.0,42.2,133,211,211,2458.809524,49.58638446,27,20,51.29571132
8192,1668543,1115543,3389,238363.2857,168,953252,1668543,4.794602237,1144,1144,143.0,143.0,677,119181.6429,8.989879194,1173,170.3125,55,225.8571429,181.6666667,225.8571429,1173,1581,1581,102018.0958,319.4027173,50,20,227.9699228
-1,0,0,53,0.0,8,17996,17996,55.56790398,30,30,30.0,30.0,30,17996.0,111.135808,234,98.0,0,234.0,147.0,234.0,234,234,234,13872.0,117.7794549,17996,8,0.0
8192,1034602,518988,443,517301.0,92,507329,1046321,2.867188941,0,0,0.0,0.0,0,209264.2,5.734377882,0,0.0,515614,0.0,0.0,0.0,0,0,0,0.0,0.0,11659,28,0.0
8192,2202315,594270,443,169408.8462,292,4944424,7146739,1.958935397,2045,2045,146.0714286,146.0714286,654,230539.9677,4.477566622,1460,549.6666667,205,894.1111111,566.84375,894.1111111,1460,16094,16094,404414.6042,635.9360063,7,20,242.0427376
-1,0,0,53,0.0,8,308,308,3246.753247,42,42,42.0,42.0,42,308.0,6493.506494,58,47.33333333,0,58.0,71.0,58.0,58,58,58,85.33333333,9.237604307,308,8,0.0
259,25,25,61656,25.0,40,25,25,80000.0,0,0,0.0,0.0,0,25.0,80000.0,0,0.0,25,0.0,0.0,0.0,0,0,0,0.0,0.0,25,20,0.0
1024,0,0,666,0.0,24,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,24,0.0
290,0,0,51183,0.0,20,11,11,90909.09091,0,0,0.0,0.0,0,11.0,181818.1818,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,11,20,0.0
1024,0,0,7,0.0,24,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,24,0.0
