Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
2053.0,73.0,73.0,80.0,73.0,40.0,73.0,73.0,27397.2602739726,0.0,0.0,0.0,0.0,0.0,73.0,27397.2602739726,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,20.0,0.0
2051.0,190.0,190.0,80.0,190.0,40.0,180.0,190.0,10526.3157894737,0.0,0.0,0.0,0.0,0.0,95.0,15789.4736842105,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0
8192.0,5007623.0,5001320.0,80.0,1251905.75,112.0,5001320.0,5007623.0,0.9984777209,694.0,694.0,138.8,138.8,694.0,715374.714285714,1.5975643534,1903.0,288.5555555556,407.0,634.3333333333,324.625,634.3333333333,1903.0,1903.0,1903.0,419208.277777778,647.4629547532,16.0,20.0,310.366235277
8192.0,7898494.0,3081526.0,80.0,526566.266666667,332.0,5004723.0,12903217.0,1.2400008463,3208.0,3208.0,200.5,200.5,598.0,496277.576923077,2.0925014281,2920.0,610.9285714286,296.0,1263.4545454546,633.5555555556,1263.4545454546,2920.0,13898.0,13898.0,849797.328042328,921.8445248752,4.0,20.0,238.7517539203
8192.0,54631.0,54167.0,80.0,18210.3333333333,92.0,4952840.0,5007471.0,0.7988064234,709.0,709.0,177.25,177.25,709.0,715353.0,1.5976128469,709.0,121.5555555556,143.0,96.25,136.75,96.25,385.0,385.0,385.0,64740.5277777778,254.4415999356,17.0,20.0,354.5
2051.0,390.0,390.0,80.0,390.0,40.0,390.0,390.0,5128.2051282051,0.0,0.0,0.0,0.0,0.0,390.0,5128.2051282051,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,20.0,0.0
2051.0,22.0,22.0,80.0,22.0,40.0,22.0,22.0,90909.0909090909,0.0,0.0,0.0,0.0,0.0,22.0,90909.0909090909,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0
2051.0,331.0,331.0,80.0,331.0,40.0,317.0,331.0,6042.2960725076,0.0,0.0,0.0,0.0,0.0,165.5,9063.4441087613,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0
256.0,35.0,35.0,80.0,35.0,40.0,35.0,35.0,57142.8571428571,0.0,0.0,0.0,0.0,0.0,35.0,57142.8571428571,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0
2053.0,45.0,45.0,80.0,45.0,40.0,45.0,45.0,44444.4444444444,0.0,0.0,0.0,0.0,0.0,45.0,44444.4444444444,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,0.0
8192.0,5009889.0,5000998.0,80.0,1252472.25,112.0,5000998.0,5009889.0,0.998026104,694.0,694.0,138.8,138.8,694.0,715698.428571429,1.5968417664,4012.0,522.8888888889,365.0,1337.3333333333,588.25,1337.3333333333,4012.0,4012.0,4012.0,1764633.11111111,1328.3949379274,20.0,20.0,310.366235277
2051.0,13.0,13.0,80.0,13.0,40.0,13.0,13.0,153846.153846154,0.0,0.0,0.0,0.0,0.0,13.0,153846.153846154,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0
8192.0,73040.0,55418.0,80.0,18260.0,112.0,4945642.0,5018682.0,0.9962775087,445.0,445.0,89.0,89.0,445.0,557631.333333333,1.9925550174,2920.0,320.9090909091,1609.0,617.0,353.0,617.0,2920.0,3085.0,3085.0,761884.090909091,872.8597200634,7.0,20.0,199.0100499975
8192.0,5002033.0,5000434.0,80.0,2501016.5,72.0,5000434.0,5002033.0,0.5997561392,0.0,0.0,0.0,0.0,0.0,1667344.33333333,0.7996748522,0.0,0.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
8192.0,6118.0,3281.0,80.0,2039.3333333333,92.0,5004845.0,5010963.0,0.7982497576,558.0,558.0,139.5,139.5,558.0,715851.857142857,1.5964995152,1806.0,262.6666666667,408.0,451.5,295.5,451.5,1806.0,1806.0,1806.0,369007.0,607.4594636682,16.0,20.0,279.0
2053.0,46.0,46.0,80.0,46.0,40.0,46.0,46.0,43478.2608695652,0.0,0.0,0.0,0.0,0.0,46.0,43478.2608695652,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,0.0
8192.0,3161636.0,3033965.0,80.0,316163.6,232.0,5004806.0,8166442.0,1.3469758311,2307.0,2307.0,209.7272727273,209.7272727273,598.0,453691.222222222,2.3265946173,2512.0,565.9,364.0,1126.375,595.6842105263,1126.375,2512.0,9011.0,9011.0,778293.042105264,882.2091827369,19.0,20.0,246.6714782496
2051.0,277.0,277.0,80.0,277.0,40.0,266.0,277.0,7220.2166064982,0.0,0.0,0.0,0.0,0.0,138.5,10830.3249097473,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0
