Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
241,0,0,22,0.0,32,7,7,142857.142857143,0,0,0.0,0.0,0,7.0,285714.285714286,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,32,0.0
26883,336604,77559,22,16028.7619047619,712,77559,338572,64.9787932847,1960,1960,89.0909090909,89.0909090909,640,7873.7674418605,129.9575865695,976,102.7777777778,159,121.1363636364,105.1136363636,121.1363636364,976,2665,2665,41512.6767676768,203.7465994015,7,32,137.9533769037
26883,304861,77252,22,14517.1904761905,712,77252,304909,72.1526750604,1912,1912,86.9090909091,86.9090909091,640,7090.9069767442,144.3053501209,976,101.7111111111,148,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,3,32,137.6880217811
26883,352933,69504,22,16806.3333333333,712,68772,353383,62.2553999485,1944,1944,88.3636363636,88.3636363636,640,8218.2093023256,124.510799897,976,102.4222222222,288,121.1363636364,104.75,121.1363636364,976,2665,2665,41511.6585858586,203.7441007388,3,32,137.8690011274
26883,388155,151060,22,18483.5714285714,712,151060,388339,56.6515338403,1928,1928,87.6363636364,87.6363636364,640,9471.6829268293,108.1529282405,976,106.8139534884,228,133.25,109.3571428571,133.25,976,2665,2665,42967.9169435216,207.2870399796,6,32,137.7805520365
26883,385186,138563,22,18342.1904761905,712,138563,386244,56.9588135997,1912,1912,86.9090909091,86.9090909091,640,8982.4186046512,113.9176271994,976,101.7111111111,215,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,2,32,137.6880217811
26883,361534,91882,22,17215.9047619048,712,91882,361710,60.8222056343,2008,2008,91.2727272727,91.2727272727,640,8411.8604651163,121.6444112687,976,103.8444444444,175,121.1363636364,106.2045454545,121.1363636364,976,2665,2665,41514.1797979798,203.7502878476,4,32,138.1821371607
241,0,0,22,0.0,32,8,8,125000.0,0,0,0.0,0.0,0,8.0,250000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,8,32,0.0
26883,371339,83306,22,16145.1739130435,776,67856,371388,64.6224433746,1928,1928,80.3333333333,80.3333333333,640,8253.0666666667,123.8596831346,976,97.7234042553,247,121.1363636364,99.847826087,121.1363636364,976,2665,2665,40139.2479185939,200.3478173542,5,32,133.9586784655
26883,319202,137881,22,15200.0952380952,712,137881,319723,68.8095632782,1944,1944,88.3636363636,88.3636363636,640,7435.4186046512,137.6191265564,976,102.4222222222,238,121.1363636364,104.75,121.1363636364,976,2665,2665,41511.6585858586,203.7441007388,1,32,137.8690011274
26883,379033,99013,22,17228.7727272727,744,99013,379084,60.6725686128,1912,1912,83.1304347826,83.1304347826,640,8615.5454545455,118.7071994598,976,99.5,286,121.1363636364,101.7111111111,121.1363636364,976,2665,2665,40811.3222222222,202.0181234994,3,32,135.7374820439
26883,396309,125452,22,18871.8571428571,712,125452,396444,55.4933357549,1928,1928,87.6363636364,87.6363636364,640,9669.3658536585,105.9418228047,976,106.8139534884,275,133.25,109.3571428571,133.25,976,2665,2665,42967.9169435216,207.2870399796,7,32,137.7805520365
26883,249059,53120,22,11859.9523809524,712,42005,249742,88.0909098189,1928,1928,87.6363636364,87.6363636364,640,5807.9534883721,176.1818196379,976,102.0666666667,98,121.1363636364,104.3863636364,121.1363636364,976,2665,2665,41510.3818181818,203.7409674518,5,32,137.7805520365
26883,377452,129568,22,17973.9047619048,712,129568,379115,58.029885391,1912,1912,86.9090909091,86.9090909091,640,9246.7073170732,110.7843266555,976,106.4418604651,173,133.25,108.9761904762,133.25,976,2665,2665,42969.919158361,207.2918694941,5,32,137.6880217811
241,0,0,22,0.0,32,4,4,250000.0,0,0,0.0,0.0,0,4.0,500000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4,32,0.0
26883,390229,96186,22,18582.3333333333,712,96186,390401,56.3523146713,1928,1928,87.6363636364,87.6363636364,640,9521.9756097561,107.5816916453,976,106.8139534884,216,133.25,109.3571428571,133.25,976,2665,2665,42967.9169435216,207.2870399796,5,32,137.7805520365
241,0,0,22,0.0,32,5,5,200000.0,0,0,0.0,0.0,0,5.0,400000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,5,32,0.0
241,0,0,22,0.0,32,5,5,200000.0,0,0,0.0,0.0,0,5.0,400000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,5,32,0.0
26883,352583,89732,22,16789.6666666667,712,89732,352648,62.3851546018,1928,1928,87.6363636364,87.6363636364,640,8396.380952381,121.934620358,976,104.3863636364,408,126.9047619048,106.8139534884,126.9047619048,976,2665,2665,42227.9635306554,205.4944367389,3,32,137.7805520365
26883,309192,93581,22,14723.4285714286,712,93581,309296,71.1292742228,1912,1912,86.9090909091,86.9090909091,640,7364.1904761905,139.0253996172,976,104.0227272727,169,126.9047619048,106.4418604651,126.9047619048,976,2665,2665,42228.1157505285,205.4948071133,2,32,137.6880217811
26883,377587,152802,22,19873.0,648,113593,377641,52.960351233,1912,1912,95.6,95.6,640,9210.756097561,111.2167375894,976,106.4418604651,399,121.1363636364,108.9761904762,121.1363636364,976,2665,2665,42969.919158361,207.2918694941,7,32,141.7003510006
241,0,0,22,0.0,32,6,6,166666.666666667,0,0,0.0,0.0,0,6.0,333333.333333333,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,32,0.0
26883,396357,144442,22,18874.1428571429,712,144442,396428,55.4955754891,1912,1912,86.9090909091,86.9090909091,640,9219.2558139535,110.9911509782,976,101.7111111111,196,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,5,32,137.6880217811
241,0,0,22,0.0,32,5,5,200000.0,0,0,0.0,0.0,0,5.0,400000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,5,32,0.0
26883,322423,104787,22,16121.15,680,104787,322480,65.1203175391,1928,1928,91.8095238095,91.8095238095,640,7678.0952380952,133.34160258,976,104.3863636364,290,121.1363636364,106.8139534884,121.1363636364,976,2665,2665,42227.9635306554,205.4944367389,3,32,139.7510712115
26883,386925,140574,22,16822.8260869565,776,140574,386977,62.019189771,1912,1912,79.6666666667,79.6666666667,640,8999.4651162791,113.7018479134,976,101.7111111111,140,133.25,104.0227272727,133.25,976,2665,2665,41508.8464646465,203.7371995112,5,32,133.8339875812
26883,373671,104746,22,17793.8571428571,712,104746,373724,58.8669713478,1928,1928,87.6363636364,87.6363636364,640,9115.2195121951,112.3823998459,976,106.8139534884,278,133.25,109.3571428571,133.25,976,2665,2665,42967.9169435216,207.2870399796,5,32,137.7805520365
26883,376819,76803,22,16383.4347826087,776,76803,376869,63.6826058922,1928,1928,80.3333333333,80.3333333333,640,8764.3953488372,116.7514441358,976,102.0666666667,201,133.25,104.3863636364,133.25,976,2665,2665,41510.3818181818,203.7409674518,5,32,133.9586784655
26883,278179,73741,22,14641.0,648,73741,278221,71.8852998156,1944,1944,97.2,97.2,640,6785.8780487805,150.9591296128,976,107.1860465116,261,121.1363636364,109.7380952381,121.1363636364,976,2665,2665,42965.6312292359,207.2815265026,4,32,141.7906536895
26883,394532,104612,22,18787.2380952381,712,98524,394572,55.7566172967,1944,1944,88.3636363636,88.3636363636,640,9176.0930232558,111.5132345934,976,102.4222222222,205,121.1363636364,104.75,121.1363636364,976,2665,2665,41511.6585858586,203.7441007388,5,32,137.8690011274
26883,354742,57411,22,17737.1,680,57411,354798,59.1886087295,1912,1912,91.0476190476,91.0476190476,640,8869.95,115.5587122814,976,108.9761904762,217,133.25,111.6341463415,133.25,976,2665,2665,43735.0481997677,209.1292619405,5,32,139.6790879804
26883,370539,84925,22,17644.7142857143,712,82197,371287,59.2533538745,1912,1912,86.9090909091,86.9090909091,640,9055.7804878049,113.1200392149,976,106.4418604651,274,133.25,108.9761904762,133.25,976,2665,2665,42969.919158361,207.2918694941,4,32,137.6880217811
