,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,4301.59,4299.7,3602.28,3595.69,0.04,0.18
Fwd IAT Tot,35652523.89,35440922.12,39349067.23,39261505.21,0.59,0.22
Fwd IAT Max,11660597.04,11746553.67,18613281.18,18563986.43,0.74,0.26
Dst Port,164.77,164.28,172.9,172.41,0.3,0.28
Fwd IAT Mean,5954410.59,6018691.86,11924965.66,11968116.73,1.08,0.36
Fwd Header Len,716.08,697.66,1242.88,1227.64,2.57,1.23
Flow IAT Max,12135245.75,12197302.01,18372522.17,18334058.87,0.51,0.21
Flow Duration,36148910.83,35899567.18,38934865.18,38885754.94,0.69,0.13
Fwd Pkts/s,13533.09,14409.04,38950.92,40450.76,6.47,3.85
TotLen Fwd Pkts,12759.34,12472.36,22293.27,21995.98,2.25,1.33
Subflow Fwd Byts,12759.34,12473.98,22293.27,22004.42,2.24,1.3
Fwd Pkt Len Mean,216.35,214.61,196.97,196.12,0.8,0.43
Fwd Seg Size Avg,216.35,214.59,196.97,196.03,0.81,0.48
Fwd Pkt Len Max,389.3,388.45,289.49,288.7,0.22,0.27
Flow IAT Mean,5912040.85,5973124.52,11940235.27,11986414.27,1.03,0.39
Flow Pkts/s,13539.86,14416.65,38948.93,40439.41,6.48,3.83
Pkt Len Max,506.61,507.0,471.14,477.38,0.08,1.32
Pkt Len Mean,243.55,241.63,231.22,230.39,0.79,0.36
Fwd IAT Min,2792788.45,2897684.89,10297058.75,10377076.36,3.76,0.78
Bwd Pkt Len Mean,187.44,186.02,294.51,292.63,0.75,0.64
Pkt Size Avg,265.31,263.26,251.64,250.86,0.77,0.31
Bwd Seg Size Avg,187.44,185.99,294.51,292.64,0.77,0.64
Bwd Pkt Len Max,342.34,342.88,498.76,503.67,0.16,0.98
TotLen Bwd Pkts,15997.82,15716.18,29863.95,29445.32,1.76,1.4
Subflow Bwd Byts,15997.82,15716.1,29863.95,29434.67,1.76,1.44
Pkt Len Var,48020.13,49160.56,108199.94,113424.22,2.37,4.83
Pkt Len Std,136.57,137.26,171.54,172.78,0.5,0.72
Flow IAT Min,2792641.77,2890672.25,10297098.61,10380654.15,3.51,0.81
Fwd Seg Size Min,16.75,16.76,5.84,5.83,0.06,0.05
Fwd Pkt Len Std,126.12,126.45,142.74,142.0,0.26,0.52
