,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,5145.91,5181.32,3134.8,3126.27,0.69,0.27
Fwd IAT Tot,29649949.39,30009276.55,29446160.32,29232321.1,1.21,0.73
Fwd IAT Max,1239953.68,1263184.79,5297405.92,5263042.11,1.87,0.65
Dst Port,86.85,86.8,53.34,53.01,0.06,0.61
Fwd IAT Mean,447201.25,454502.29,2263564.35,2248477.97,1.63,0.67
Fwd Header Len,2025.57,2045.26,2008.98,2002.64,0.97,0.32
Flow IAT Max,1290577.95,1317132.61,5310348.7,5275603.98,2.06,0.65
Flow Duration,29704753.74,30055620.01,29397867.5,29168045.65,1.18,0.78
Fwd Pkts/s,8485.51,8409.39,18152.19,17987.81,0.9,0.91
TotLen Fwd Pkts,27631.75,27994.05,28018.4,27837.12,1.31,0.65
Subflow Fwd Byts,27631.75,27996.64,28018.4,27845.64,1.32,0.62
Fwd Pkt Len Mean,145.95,147.83,144.3,143.14,1.29,0.8
Fwd Seg Size Avg,145.95,147.82,144.3,143.18,1.28,0.77
Fwd Pkt Len Max,348.42,353.2,336.79,334.24,1.37,0.76
Flow IAT Mean,401838.29,410295.36,2264245.27,2250074.47,2.1,0.63
Flow Pkts/s,8486.42,8415.12,18151.76,17995.73,0.84,0.86
Pkt Len Max,990.1,1004.13,983.01,976.59,1.42,0.65
Pkt Len Mean,404.79,410.18,396.35,393.64,1.33,0.68
Fwd IAT Min,65468.37,69005.54,507941.05,504586.51,5.4,0.66
Bwd Pkt Len Mean,904.69,916.72,912.93,906.61,1.33,0.69
Pkt Size Avg,407.63,412.95,398.0,395.2,1.3,0.7
Bwd Seg Size Avg,904.69,916.82,912.93,906.9,1.34,0.66
Bwd Pkt Len Max,981.95,996.06,989.13,982.59,1.44,0.66
TotLen Bwd Pkts,93400.18,94676.4,95038.97,94456.65,1.37,0.61
Subflow Bwd Byts,93400.18,94667.95,95038.97,94423.61,1.36,0.65
Pkt Len Var,313438.05,317768.22,316150.85,314028.82,1.38,0.67
Pkt Len Std,396.23,401.66,396.6,393.69,1.37,0.73
Flow IAT Min,65312.43,68909.61,507961.17,504449.87,5.51,0.69
Fwd Seg Size Min,19.8,19.81,1.52,1.51,0.01,0.59
Fwd Pkt Len Std,146.41,148.52,145.67,144.65,1.44,0.7
