,Real Mean,Synthetic Mean,Real Std,Synthetic Std,Mean Diff %,Std Diff %
Init Fwd Win Byts,17357.57,18011.45,12778.01,12510.08,3.77,2.1
Fwd IAT Tot,10112397.04,17793449.29,18725744.39,31665708.55,75.96,69.1
Fwd IAT Max,9647494.81,24265610.74,18141928.96,45532535.93,151.52,150.98
Dst Port,80.0,80.0,0.0,0.0,0.0,0.0
Fwd IAT Mean,7873620.92,6406688.85,18424117.25,15467698.6,18.63,16.05
Fwd Header Len,126.02,123.21,63.75,57.24,2.23,10.22
Flow IAT Max,10635060.07,19019375.55,17724724.64,31494987.12,78.84,77.69
Flow Duration,12133748.92,12369219.74,18211986.53,15484305.63,1.94,14.98
Fwd Pkts/s,4.54,3.6,16.27,11.57,20.66,28.91
TotLen Fwd Pkts,364.36,340.86,559.08,634.27,6.45,13.45
Subflow Fwd Byts,364.36,345.55,559.08,639.91,5.16,14.46
Fwd Pkt Len Mean,72.73,82.32,65.44,77.48,13.18,18.4
Fwd Seg Size Avg,72.73,79.16,65.44,71.56,8.83,9.34
Fwd Pkt Len Max,280.43,309.87,212.92,227.23,10.5,6.72
Flow IAT Mean,6572870.59,9706401.55,13188953.98,21783847.68,47.67,65.17
Flow Pkts/s,7.21,7.95,26.03,28.74,10.21,10.44
Pkt Len Max,571.59,565.66,426.23,417.45,1.04,2.06
Pkt Len Mean,97.86,96.83,73.37,69.44,1.06,5.35
Fwd IAT Min,7161462.31,8713163.79,18671502.08,20849667.89,21.67,11.67
Bwd Pkt Len Mean,157.27,164.89,125.7,127.46,4.84,1.4
Pkt Size Avg,110.17,113.39,81.85,81.06,2.92,0.97
Bwd Seg Size Avg,157.27,166.25,125.7,125.68,5.71,0.01
Bwd Pkt Len Max,560.22,562.75,435.11,426.74,0.45,1.93
TotLen Bwd Pkts,560.22,563.71,435.11,421.47,0.62,3.13
Subflow Bwd Byts,560.22,578.86,435.11,422.75,3.33,2.84
Pkt Len Var,63053.44,56958.5,49701.75,46227.53,9.67,6.99
Pkt Len Std,202.66,209.06,148.3,148.47,3.16,0.12
Flow IAT Min,4700621.81,11786109.86,11529408.04,29110831.59,150.74,152.49
Fwd Seg Size Min,32.0,32.0,0.0,0.0,0.0,0.0
Fwd Pkt Len Std,136.97,147.45,105.39,109.62,7.65,4.02
