Model,Subset,Train Rows,Class,F1,Support,In Training Subset
HistGradientBoosting,Small,25000,Benign,0.98810685263403,170202.0,True
HistGradientBoosting,Small,25000,Bot,0.9991603694374476,3573.0,True
HistGradientBoosting,Small,25000,Brute Force -Web,0.7142857142857143,122.0,True
HistGradientBoosting,Small,25000,Brute Force -XSS,0.9148936170212766,46.0,True
HistGradientBoosting,Small,25000,DDOS attack-HOIC,0.9996455576559546,8461.0,True
HistGradientBoosting,Small,25000,DDOS attack-LOIC-UDP,0.9668109668109668,346.0,True
HistGradientBoosting,Small,25000,DDoS attacks-LOIC-HTTP,0.9976022470370625,7293.0,True
HistGradientBoosting,Small,25000,DoS attacks-GoldenEye,0.9758364312267658,525.0,True
HistGradientBoosting,Small,25000,DoS attacks-Hulk,0.9998183469573115,5505.0,True
HistGradientBoosting,Small,25000,DoS attacks-SlowHTTPTest,0.5720823798627003,246.0,True
HistGradientBoosting,Small,25000,DoS attacks-Slowloris,0.9621212121212122,130.0,True
HistGradientBoosting,Small,25000,FTP-BruteForce,0.8224121557454891,498.0,True
HistGradientBoosting,Small,25000,Infilteration,0.2413119875048809,2049.0,True
HistGradientBoosting,Small,25000,SQL Injection,0.17391304347826086,17.0,True
HistGradientBoosting,Small,25000,SSH-Bruteforce,0.9986550100874243,1485.0,True
RandomForest,Small,25000,Benign,0.9318959126333954,170202.0,True
RandomForest,Small,25000,Bot,0.9948432055749129,3573.0,True
RandomForest,Small,25000,Brute Force -Web,0.5214723926380368,122.0,True
RandomForest,Small,25000,Brute Force -XSS,0.496551724137931,46.0,True
RandomForest,Small,25000,DDOS attack-HOIC,0.9948265726043504,8461.0,True
RandomForest,Small,25000,DDOS attack-LOIC-UDP,0.9787234042553191,346.0,True
RandomForest,Small,25000,DDoS attacks-LOIC-HTTP,0.9895209580838323,7293.0,True
RandomForest,Small,25000,DoS attacks-GoldenEye,0.9274336283185841,525.0,True
RandomForest,Small,25000,DoS attacks-Hulk,0.995743910169338,5505.0,True
RandomForest,Small,25000,DoS attacks-SlowHTTPTest,0.3177570093457944,246.0,True
RandomForest,Small,25000,DoS attacks-Slowloris,0.8246753246753247,130.0,True
RandomForest,Small,25000,FTP-BruteForce,0.8102564102564103,498.0,True
RandomForest,Small,25000,Infilteration,0.0733912891529422,2049.0,True
RandomForest,Small,25000,SQL Injection,0.3333333333333333,17.0,True
RandomForest,Small,25000,SSH-Bruteforce,0.9873670212765957,1485.0,True
XGBoost,Small,25000,Benign,0.9918549011329252,170202.0,True
XGBoost,Small,25000,Bot,0.9991601343784995,3573.0,True
XGBoost,Small,25000,Brute Force -Web,0.556390977443609,122.0,True
XGBoost,Small,25000,Brute Force -XSS,0.6304347826086957,46.0,True
XGBoost,Small,25000,DDOS attack-HOIC,0.996056271705221,8461.0,True
XGBoost,Small,25000,DDOS attack-LOIC-UDP,0.9815602836879432,346.0,True
XGBoost,Small,25000,DDoS attacks-LOIC-HTTP,0.9953482008482692,7293.0,True
XGBoost,Small,25000,DoS attacks-GoldenEye,0.9681050656660413,525.0,True
XGBoost,Small,25000,DoS attacks-Hulk,0.9989092892201418,5505.0,True
XGBoost,Small,25000,DoS attacks-SlowHTTPTest,0.5281767955801105,246.0,True
XGBoost,Small,25000,DoS attacks-Slowloris,0.8262295081967214,130.0,True
XGBoost,Small,25000,FTP-BruteForce,0.2705479452054795,498.0,True
XGBoost,Small,25000,Infilteration,0.25792281142139944,2049.0,True
XGBoost,Small,25000,SQL Injection,0.0,17.0,True
XGBoost,Small,25000,SSH-Bruteforce,0.973132372214941,1485.0,True
MLP,Small,25000,Benign,0.9901525878834527,170202.0,True
MLP,Small,25000,Bot,0.9887796093641779,3573.0,True
MLP,Small,25000,Brute Force -Web,0.3269513991163476,122.0,True
MLP,Small,25000,Brute Force -XSS,0.5277777777777778,46.0,True
MLP,Small,25000,DDOS attack-HOIC,0.9992913664816346,8461.0,True
MLP,Small,25000,DDOS attack-LOIC-UDP,0.98,346.0,True
MLP,Small,25000,DDoS attacks-LOIC-HTTP,0.9919857524487978,7293.0,True
MLP,Small,25000,DoS attacks-GoldenEye,0.9595484477892756,525.0,True
MLP,Small,25000,DoS attacks-Hulk,0.998546511627907,5505.0,True
MLP,Small,25000,DoS attacks-SlowHTTPTest,0.5569917743830788,246.0,True
MLP,Small,25000,DoS attacks-Slowloris,0.7582089552238805,130.0,True
MLP,Small,25000,FTP-BruteForce,0.415625,498.0,True
MLP,Small,25000,Infilteration,0.23872832369942196,2049.0,True
MLP,Small,25000,SQL Injection,0.1111111111111111,17.0,True
MLP,Small,25000,SSH-Bruteforce,0.9801587301587301,1485.0,True
HistGradientBoosting,Medium,100000,Benign,0.9887892046375274,170202.0,True
HistGradientBoosting,Medium,100000,Bot,0.9993002099370188,3573.0,True
HistGradientBoosting,Medium,100000,Brute Force -Web,0.7243589743589743,122.0,True
HistGradientBoosting,Medium,100000,Brute Force -XSS,0.9565217391304348,46.0,True
HistGradientBoosting,Medium,100000,DDOS attack-HOIC,0.9991733585262164,8461.0,True
HistGradientBoosting,Medium,100000,DDOS attack-LOIC-UDP,0.9829059829059829,346.0,True
HistGradientBoosting,Medium,100000,DDoS attacks-LOIC-HTTP,0.9986969343666415,7293.0,True
HistGradientBoosting,Medium,100000,DoS attacks-GoldenEye,0.9924385633270322,525.0,True
HistGradientBoosting,Medium,100000,DoS attacks-Hulk,0.9997275946608554,5505.0,True
HistGradientBoosting,Medium,100000,DoS attacks-SlowHTTPTest,0.5664488017429193,246.0,True
HistGradientBoosting,Medium,100000,DoS attacks-Slowloris,0.9844961240310077,130.0,True
HistGradientBoosting,Medium,100000,FTP-BruteForce,0.8077669902912621,498.0,True
HistGradientBoosting,Medium,100000,Infilteration,0.2648292390653086,2049.0,True
HistGradientBoosting,Medium,100000,SQL Injection,0.43478260869565216,17.0,True
HistGradientBoosting,Medium,100000,SSH-Bruteforce,0.9983193277310924,1485.0,True
RandomForest,Medium,100000,Benign,0.9375589183825354,170202.0,True
RandomForest,Medium,100000,Bot,0.9955406911928651,3573.0,True
