Model,Subset,Train Rows,Classes Present,Classes Missing,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time (s),Prediction Time (s)
HistGradientBoosting,Small,25000,15,0,0.9787479176849644,0.8204097306192625,0.8373713372393884,0.8217770594577665,0.9806437581328574,4.053354024887085,1.6746301651000977
RandomForest,Small,25000,15,0,0.8895749583536993,0.7368960361457929,0.8125418478772175,0.7451861397637402,0.9297033796678491,2.6551828384399414,2.1744072437286377
XGBoost,Small,25000,15,0,0.9837903619986235,0.7564226793134214,0.7672145866920943,0.7315886226206666,0.9818641759933405,7.016573905944824,1.2125909328460693
MLP,Small,25000,15,0,0.9808776147392991,0.800529414447562,0.7821098423167681,0.7215904898043728,0.9802669917445106,20.53480076789856,0.7186758518218994
HistGradientBoosting,Medium,100000,15,0,0.97991002404014,0.862128541405546,0.8547782157129181,0.8465703768938616,0.9815610120068567,10.711336374282837,1.8313908576965332
RandomForest,Medium,100000,15,0,0.8984528523975301,0.7718063593084976,0.8495835583068377,0.7891584543633168,0.9355863251412795,13.347061157226562,2.5648868083953857
XGBoost,Medium,100000,15,0,0.9860447485760456,0.8704715122919169,0.8313393221547952,0.818211053486932,0.9845821923698675,16.64600920677185,1.2503917217254639
MLP,Medium,100000,15,0,0.9828876098514698,0.7734146394584636,0.7974347337373352,0.7521289009274953,0.9816227931248325,127.96244883537292,0.5254619121551514
HistGradientBoosting,Large,281295,15,0,0.9802990553521731,0.878687084189638,0.8664175930967197,0.862697325722646,0.9822223390529986,29.04394221305847,3.236022710800171
RandomForest,Large,281295,15,0,0.8999790521601213,0.7984674799097241,0.8618246174476484,0.8085450253047884,0.9368153968297308,45.560160875320435,2.9248039722442627
XGBoost,Large,281295,15,0,0.9861594629372862,0.8674009218115377,0.8439049919447449,0.8421434783372785,0.9848376758698593,40.106229066848755,1.3898117542266846
