number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,state
0,0.8589439653233626,2026-07-25 15:40:46.179234,2026-07-25 15:42:15.978873,0 days 00:01:29.799639,relu,8.629132190071855e-06,64,0.00014936568554617635,2,384,288.0,,,COMPLETE
1,0.8797477041620823,2026-07-25 15:42:16.031733,2026-07-25 15:42:50.453802,0 days 00:00:34.422069,tanh,0.0003905441275210792,64,0.0007476312062252305,4,320,96.0,96.0,96.0,COMPLETE
2,0.8758132355213226,2026-07-25 15:42:50.498294,2026-07-25 15:43:06.529502,0 days 00:00:16.031208,tanh,1.899776347411128e-06,512,0.006647135865318032,2,320,96.0,,,COMPLETE
3,0.5837954394942373,2026-07-25 15:43:06.569846,2026-07-25 15:43:30.489667,0 days 00:00:23.919821,tanh,1.6081669283634667e-06,128,0.053451661106468214,4,128,64.0,288.0,192.0,COMPLETE
4,0.7630834669056928,2026-07-25 15:43:30.512213,2026-07-25 15:43:51.538977,0 days 00:00:21.026764,relu,0.003867228849117745,512,0.058293845429947415,3,96,384.0,320.0,,COMPLETE
5,0.8618401111860534,2026-07-25 15:43:51.560531,2026-07-25 15:44:21.577808,0 days 00:00:30.017277,relu,0.0018037506431281848,256,0.00026471141828218194,2,128,320.0,,,COMPLETE
6,0.8515778820369544,2026-07-25 15:44:21.614505,2026-07-25 15:44:23.343832,0 days 00:00:01.729327,relu,0.023661540064603175,512,0.020597335357437203,1,32,,,,COMPLETE
7,0.8298917573713049,2026-07-25 15:44:23.372913,2026-07-25 15:44:28.693472,0 days 00:00:05.320559,tanh,0.006688747907702059,512,0.04588156549160976,3,128,32.0,128.0,,COMPLETE
8,0.8562223830092451,2026-07-25 15:44:28.716171,2026-07-25 15:45:18.894991,0 days 00:00:50.178820,relu,4.4396482429275274e-06,512,0.000124247470836602,3,320,192.0,224.0,,COMPLETE
9,0.8633683347506964,2026-07-25 15:45:18.920110,2026-07-25 15:45:27.606440,0 days 00:00:08.686330,relu,2.8965395242758646e-06,128,0.0007400385759087378,1,160,,,,COMPLETE
10,0.7820684428663129,2026-07-25 15:45:27.646269,2026-07-25 15:45:46.056976,0 days 00:00:18.410707,tanh,0.5736202516305239,64,0.001774224501415529,4,224,160.0,32.0,32.0,COMPLETE
11,0.8560730782927308,2026-07-25 15:45:46.090214,2026-07-25 15:46:11.162354,0 days 00:00:25.072140,tanh,8.312259089626681e-05,64,0.007848596736294991,2,288,128.0,,,COMPLETE
12,0.8768113644671265,2026-07-25 15:46:11.179864,2026-07-25 16:22:36.389483,0 days 00:36:25.209619,tanh,0.00011817486082388006,256,0.003299668629310708,4,384,96.0,32.0,384.0,COMPLETE
13,0.8765009571012511,2026-07-25 16:22:36.409584,2026-07-25 16:23:23.118271,0 days 00:00:46.708687,tanh,0.00014889734620540665,256,0.0014793778674767762,4,384,224.0,32.0,384.0,COMPLETE
14,0.8734742913736169,2026-07-25 16:23:23.145676,2026-07-25 16:25:01.532741,0 days 00:01:38.387065,tanh,0.0001706720644212927,256,0.003920776541325162,4,256,96.0,128.0,384.0,COMPLETE
